문화재명,시군구명,종목,경도,위도,대표이미지
여주 고달사지 승탑,여주시,국보,127.652160778359,37.3939072455202,http://www.cha.go.kr/unisearch/images/national_treasure/1612029.jpg
용주사 동종,화성시,국보,126.8311887,37.1994932,http://www.cha.go.kr/unisearch/images/national_treasure/1612039.jpg
초조본 유가사지론 권17,용인시,국보,127.1883065,37.2244074,http://www.cha.go.kr/unisearch/images/national_treasure/1612046.jpg
조선방역지도,과천시,국보,126.9796956,37.4241633,http://www.cha.go.kr/unisearch/images/national_treasure/1612049.jpg
초조본 대방광불화엄경 주본 권1,용인시,국보,127.108755608431,37.2683295776315,http://www.cha.go.kr/unisearch/images/national_treasure/1612052.jpg
통감속편,성남시,국보,127.052183461948,37.3930295720453,http://www.cha.go.kr/unisearch/images/national_treasure/1612932.jpg
칠장사 오불회 괘불탱,안성시,국보,127.3976762,37.0264259,http://www.cha.go.kr/unisearch/images/national_treasure/1612058.jpg
동의보감,성남시,국보,127.052183461948,37.3930295720453,http://www.cha.go.kr/unisearch/images/national_treasure/2549224.jpg
안양 중초사지 당간지주,안양시,보물,126.917722462831,37.4178993120815,http://www.cha.go.kr/unisearch/images/treasure/1615580.jpg
중초사지삼층석탑,안양시,보물,126.9182016,37.4182548,http://www.cha.go.kr/unisearch/images/treasure/1615588.jpg
여주 고달사지 원종대사탑비,여주시,보물,127.65390794718,37.3927914935105,http://www.cha.go.kr/unisearch/images/treasure/1615589.jpg
여주 고달사지 원종대사탑,여주시,보물,127.653058838789,37.3943007881472,http://www.cha.go.kr/unisearch/images/treasure/1615598.jpg
여주 고달사지 석조대좌,여주시,보물,127.654336061579,37.3928921768526,http://www.cha.go.kr/unisearch/images/treasure/1615611.jpg
용인 서봉사지 현오국사탑비,용인시,보물,127.038757664452,37.3377855197085,http://www.cha.go.kr/unisearch/images/treasure/1615616.jpg
사인비구 제작 동종 - 안성 청룡사 동종,안성시,보물,127.2593041,36.9430596,http://www.cha.go.kr/unisearch/images/treasure/1615627.jpg
사인비구 제작 동종 - 의왕 청계사 동종,의왕시,보물,127.0275929,37.4025646,http://www.cha.go.kr/unisearch/images/treasure/1615629.jpg
하남 동사지 오층석탑,하남시,보물,127.185863542521,37.5168596337831,http://www.cha.go.kr/unisearch/images/treasure/1615631.jpg
하남 동사지 삼층석탑,하남시,보물,127.185912868769,37.516943524125,http://www.cha.go.kr/unisearch/images/treasure/1615642.jpg
수원 창성사지 진각국사탑비,수원시,보물,127.018724549967,37.2868476963283,http://www.cha.go.kr/unisearch/images/treasure/1615654.jpg
여주 창리 삼층석탑,여주시,보물,127.648092560684,37.2942500248431,http://www.cha.go.kr/unisearch/images/treasure/1615660.jpg
여주 하리 삼층석탑,여주시,보물,127.648132646123,37.2941957980286,http://www.cha.go.kr/unisearch/images/treasure/1615665.jpg
파주 용미리 마애이불입상,파주시,보물,126.864540519464,37.7541865182651,http://www.cha.go.kr/unisearch/images/treasure/1615671.jpg
여주 신륵사 조사당,여주시,보물,127.661388882618,37.297911602265,http://www.cha.go.kr/unisearch/images/treasure/1615682.jpg
여주 신륵사 다층석탑,여주시,보물,127.661687750641,37.2975381279251,http://www.cha.go.kr/unisearch/images/treasure/1615691.jpg
여주 신륵사 다층전탑,여주시,보물,127.662231449411,37.2971187137826,http://www.cha.go.kr/unisearch/images/treasure/1615700.jpg
여주 신륵사 보제존자석종,여주시,보물,127.661663007746,37.298374928832,http://www.cha.go.kr/unisearch/images/treasure/1615708.jpg
여주 신륵사 보제존자석종비,여주시,보물,127.661663007746,37.298374928832,http://www.cha.go.kr/unisearch/images/treasure/1615714.jpg
여주 신륵사 대장각기비,여주시,보물,127.662218,37.297348,http://www.cha.go.kr/unisearch/images/treasure/1615720.jpg
여주 신륵사 보제존자석종 앞 석등,여주시,보물,127.661625253707,37.298347493867,http://www.cha.go.kr/unisearch/images/treasure/1615723.jpg
양주 회암사지 선각왕사비,양주시,보물,127.107468,37.850964,http://www.cha.go.kr/unisearch/images/treasure/1615735.jpg
양주 회암사지 무학대사탑,양주시,보물,127.108036536157,37.849816090071,http://www.cha.go.kr/unisearch/images/treasure/1615741.jpg
양주 회암사지 무학대사탑 앞 쌍사자 석등,양주시,보물,127.108033364174,37.8497729292183,http://www.cha.go.kr/unisearch/images/treasure/1615751.jpg
남양주 봉선사 동종,남양주시,보물,127.183737916317,37.7473346763574,http://www.cha.go.kr/unisearch/images/treasure/1615758.jpg
수원 팔달문,수원시,보물,127.016737494456,37.2775577801671,http://www.cha.go.kr/unisearch/images/treasure/1615763.jpg
수원 화서문,수원시,보물,127.009693,37.285489,http://www.cha.go.kr/unisearch/images/treasure/1615778.jpg
안성 봉업사지 오층석탑,안성시,보물,127.430766189259,37.0784498584666,http://www.cha.go.kr/unisearch/images/treasure/1615791.jpg
안성 칠장사 혜소국사비,안성시,보물,127.396783,37.02629,http://www.cha.go.kr/unisearch/images/treasure/1615797.jpg
양평 용문사 정지국사탑 및 비,양평군,보물,127.573498059266,37.5509318762548,http://www.cha.go.kr/unisearch/images/treasure/1615804.jpg
