문화재명,시군구명,종목,경도,위도,대표이미지
합천 해인사 대장경판,합천군,국보,128.0980159,35.8011827,http://www.cha.go.kr/unisearch/images/national_treasure/1612968.jpg
창녕 신라 진흥왕 척경비,창녕군,국보,128.50264501968,35.5407250695667,http://www.cha.go.kr/unisearch/images/national_treasure/1613008.jpg
창녕 술정리 동 삼층석탑,창녕군,국보,128.496103617453,35.5395963195985,http://www.cha.go.kr/unisearch/images/national_treasure/1613016.jpg
하동 쌍계사 진감선사탑비,하동군,국보,127.650504705527,35.2324784611333,http://www.cha.go.kr/unisearch/images/national_treasure/1613019.jpg
합천 해인사 장경판전,합천군,국보,128.098720300091,35.8016023778966,http://www.cha.go.kr/unisearch/images/national_treasure/1613038.jpg
표충사 청동 은입사 향완,밀양시,국보,128.9623239,35.533758,http://www.cha.go.kr/unisearch/images/national_treasure/1613066.jpg
산청 범학리 삼층석탑,진주시,국보,128.076668,35.189463,http://www.cha.go.kr/unisearch/images/national_treasure/1611553.jpg
합천 해인사 고려목판,합천군,국보,128.0980159,35.8011827,http://www.cha.go.kr/unisearch/images/national_treasure/1613069.jpg
산청 석남암사지 석조비로자나불좌상,산청군,국보,127.810030229352,35.3002724371669,http://www.cha.go.kr/unisearch/images/national_treasure/2016010709232300.jpg
귀함별황자총통(1596년조),창원시,국보,128.6818441,35.2278754,http://www.cha.go.kr/unisearch/images/no_image.gif
양산 통도사 대웅전 및 금강계단,양산시,국보,129.063712922387,35.4880441674261,http://www.cha.go.kr/unisearch/images/national_treasure/1613091.jpg
청곡사 영산회 괘불탱,진주시,국보,128.1810231,35.1903223,http://www.cha.go.kr/unisearch/images/national_treasure/1613111.jpg
통영 세병관,통영시,국보,128.423094998737,34.8477499513518,http://www.cha.go.kr/unisearch/images/national_treasure/1613115.jpg
사인비구 제작 동종 - 통도사 동종,양산시,보물,129.0643866,35.4879561,http://www.cha.go.kr/unisearch/images/treasure/1622321.jpg
함안 대산리 석조삼존상,함안군,보물,128.428651248698,35.2552165475212,http://www.cha.go.kr/unisearch/images/treasure/1622323.jpg
산청 단속사지 동 삼층석탑,산청군,보물,127.899849916022,35.321230299946,http://www.cha.go.kr/unisearch/images/treasure/1622335.jpg
산청 단속사지 서 삼층석탑,산청군,보물,127.899597871283,35.3212302949895,http://www.cha.go.kr/unisearch/images/treasure/1622339.jpg
양산 통도사 국장생 석표,양산시,보물,129.086520866964,35.4739386114737,http://www.cha.go.kr/unisearch/images/treasure/1622342.jpg
창녕 송현동 마애여래좌상,창녕군,보물,128.50843412427,35.5411109027672,http://www.cha.go.kr/unisearch/images/treasure/1622346.jpg
합천 반야사지 원경왕사비,합천군,보물,128.096469424945,35.7993822386992,http://www.cha.go.kr/unisearch/images/treasure/1622352.jpg
합천 월광사지 동·서 삼층석탑,합천군,보물,128.152712,35.734352,http://www.cha.go.kr/unisearch/images/treasure/1622361.jpg
통도사대웅전,양산시,보물,129.0643866,35.4879561,http://www.cha.go.kr/unisearch/images/no_image.gif
창녕 관룡사 약사전,창녕군,보물,128.553249212686,35.5317797593755,http://www.cha.go.kr/unisearch/images/treasure/1622368.jpg
밀양 영남루,밀양시,보물,128.755108189419,35.4915310693697,http://www.cha.go.kr/unisearch/images/treasure/1622375.jpg
함안 방어산 마애약사여래삼존입상,함안군,보물,128.301141909366,35.2477019726108,http://www.cha.go.kr/unisearch/images/treasure/1622386.jpg
