문화재명,시군구명,종목,경도,위도,대표이미지
영천 거조사 영산전,영천시,국보,128.764535947917,36.0200794751569,http://www.cha.go.kr/unisearch/images/national_treasure/1612612.jpg
안동 봉정사 극락전,안동시,국보,128.662410829215,36.6534863778417,http://www.cha.go.kr/unisearch/images/national_treasure/1612623.jpg
안동 법흥사지 칠층전탑,안동시,국보,128.746392271242,36.5659751219048,http://www.cha.go.kr/unisearch/images/national_treasure/1612633.jpg
영주 부석사 무량수전 앞 석등,영주시,국보,128.687451710932,36.9988050108967,http://www.cha.go.kr/unisearch/images/national_treasure/1612638.jpg
영주 부석사 무량수전,영주시,국보,128.68748555042,36.9989539877941,http://www.cha.go.kr/unisearch/images/national_treasure/1612647.jpg
영주 부석사 조사당,영주시,국보,128.688515469067,36.9996018286797,http://www.cha.go.kr/unisearch/images/national_treasure/1612661.jpg
경주 불국사 다보탑,경주시,국보,129.332267999295,35.7899698186069,http://www.cha.go.kr/unisearch/images/national_treasure/1612673.jpg
경주 불국사 삼층석탑,경주시,국보,129.331984595091,35.7899677237892,http://www.cha.go.kr/unisearch/images/national_treasure/1612682.jpg
경주 불국사 연화교 및 칠보교,경주시,국보,129.331642804335,35.7897191051224,http://www.cha.go.kr/unisearch/images/national_treasure/1612691.jpg
경주 불국사 청운교 및 백운교,경주시,국보,129.332158169199,35.7897229583531,http://www.cha.go.kr/unisearch/images/national_treasure/1612696.jpg
경주 석굴암 석굴,경주시,국보,129.349242,35.794852,http://www.cha.go.kr/unisearch/images/national_treasure/1612705.jpg
경주 태종무열왕릉비,경주시,국보,129.188548279325,35.8251335576631,http://www.cha.go.kr/unisearch/images/national_treasure/1612731.jpg
경주 백률사 금동약사여래입상,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612742.jpg
성덕대왕신종,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612744.jpg
경주 분황사 모전석탑,경주시,국보,129.233641826763,35.840561548299,http://www.cha.go.kr/unisearch/images/national_treasure/1612748.jpg
경주 첨성대,경주시,국보,129.218993693668,35.834695848054,http://www.cha.go.kr/unisearch/images/national_treasure/1612759.jpg
경주 황복사지 삼층석탑,경주시,국보,129.242391005132,35.8321857175997,http://www.cha.go.kr/unisearch/images/national_treasure/1612766.jpg
경주 고선사지 삼층석탑,경주시,국보,129.229057533909,35.8281281391872,http://www.cha.go.kr/unisearch/images/national_treasure/1612770.jpg
경주 나원리 오층석탑,경주시,국보,129.212255439354,35.8936077546984,http://www.cha.go.kr/unisearch/images/national_treasure/1612776.jpg
경주 정혜사지 십삼층석탑,경주시,국보,129.157669514943,36.0190473494375,http://www.cha.go.kr/unisearch/images/national_treasure/1612780.jpg
영주 부석사 소조여래좌상,영주시,국보,128.6879994,36.9989709,http://www.cha.go.kr/unisearch/images/national_treasure/1612784.jpg
부석사 조사당 벽화,영주시,국보,128.6879994,36.9989709,http://www.cha.go.kr/unisearch/images/national_treasure/1612794.jpg
의성 탑리리 오층석탑,의성군,국보,128.683830177852,36.2552065336905,http://www.cha.go.kr/unisearch/images/national_treasure/1612805.jpg
금관총 금관 및 금제 관식,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612812.jpg
금관총 금제 허리띠,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612814.jpg
군위 아미타여래삼존 석굴,군위군,국보,128.64110421392,36.0489946895272,http://www.cha.go.kr/unisearch/images/national_treasure/1612818.jpg
안향 초상,영주시,국보,128.582143373769,36.9258026534505,http://www.cha.go.kr/unisearch/images/national_treasure/1612825.jpg
경주 감은사지 동·서 삼층석탑,경주시,국보,129.477006979332,35.7481399114246,http://www.cha.go.kr/unisearch/images/national_treasure/1612826.jpg
안동 하회탈 및 병산탈,안동시,국보,128.5281527,36.5465776,http://www.cha.go.kr/unisearch/images/national_treasure/1612836.jpg
불국사 삼층석탑 사리장엄구,경주시,국보,129.3318932,35.7898809,http://www.cha.go.kr/unisearch/images/national_treasure/1612839.jpg
구미 죽장리 오층석탑,구미시,국보,128.281699692974,36.2485579923652,http://www.cha.go.kr/unisearch/images/national_treasure/1612850.jpg
징비록,안동시,국보,128.8109461,36.702059,http://www.cha.go.kr/unisearch/images/national_treasure/1612856.jpg
장양수 홍패,울진군,국보,129.3822725,37.0008795,http://www.cha.go.kr/unisearch/images/national_treasure/1612857.jpg
영양 산해리 오층모전석탑,영양군,국보,129.069496721185,36.5848625730672,http://www.cha.go.kr/unisearch/images/national_treasure/1612858.jpg
천마총 금관,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612860.jpg
천마총 관모,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612861.jpg
천마총 금제 허리띠,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612863.jpg
토우장식 장경호,경주시,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1612872.jpg
경주 단석산 신선사 마애불상군,경주시,국보,129.081942767651,35.796818018841,http://www.cha.go.kr/unisearch/images/national_treasure/1612876.jpg
봉화 북지리 마애여래좌상,봉화군,국보,128.736910477051,36.9312841780527,http://www.cha.go.kr/unisearch/images/national_treasure/1612896.jpg
도리사 세존사리탑 금동 사리기,김천시,국보,128.0040771,36.1167724,http://www.cha.go.kr/unisearch/images/national_treasure/1612901.jpg
경주 장항리 서 오층석탑,경주시,국보,129.372992687772,35.7748660668149,http://www.cha.go.kr/unisearch/images/national_treasure/1612902.jpg
울진 봉평리 신라비,울진군,국보,129.409227,37.043758,http://www.cha.go.kr/unisearch/images/national_treasure/1612911.jpg
포항 냉수리 신라비,포항시,국보,129.263064134895,36.1298728090165,http://www.cha.go.kr/unisearch/images/national_treasure/1612917.jpg
도기 기마인물형 뿔잔,경주시,국보,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/national_treasure/1612923.jpg
영주 흑석사 목조아미타여래좌상 및 복장유물,영주시,국보,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/national_treasure/1612927.jpg
안동 봉정사 대웅전,안동시,국보,128.662676014702,36.6534417543708,http://www.cha.go.kr/unisearch/images/national_treasure/1612938.jpg
경주 남산 칠불암 마애불상군,경주시,국보,129.235351103533,35.7714559121041,http://www.cha.go.kr/unisearch/images/national_treasure/1612945.jpg
문경 봉암사 지증대사탑비,문경시,국보,128.005561,36.700603,http://www.cha.go.kr/unisearch/images/national_treasure/1612962.jpg
포항 중성리 신라비,경주시,국보,129.30794819267,35.7833056305235,http://www.cha.go.kr/unisearch/images/national_treasure/2457474.jpg
예천 용문사 대장전과 윤장대,예천군,국보,128.369682,36.731467,http://www.cha.go.kr/unisearch/images/national_treasure/2019120211000800.jpg
사인비구 제작 동종 - 포항 보경사 서운암 동종,포항시,보물,129.3179365,36.252233,http://www.cha.go.kr/unisearch/images/treasure/1620023.jpg
사인비구 제작 동종 - 문경 김룡사 동종,김천시,보물,128.0040771,36.1167724,http://www.cha.go.kr/unisearch/images/treasure/1620025.jpg
문경 내화리 삼층석탑,문경시,보물,128.294926062353,36.6926991104031,http://www.cha.go.kr/unisearch/images/treasure/1620027.jpg
봉화 서동리 동·서 삼층석탑,봉화군,보물,128.914910450716,36.9472905202655,http://www.cha.go.kr/unisearch/images/treasure/1620038.jpg
예천 개심사지 오층석탑,예천군,보물,128.454774422337,36.6520043026788,http://www.cha.go.kr/unisearch/images/treasure/1620045.jpg
고령 지산리 당간지주,고령군,보물,128.265527219705,35.7272090389053,http://www.cha.go.kr/unisearch/images/treasure/1620059.jpg
봉정사대웅전,안동시,보물,128.662533,36.6532649,http://www.cha.go.kr/unisearch/images/treasure/1620062.jpg
안동 운흥동 오층전탑,안동시,보물,128.731387122263,36.5625486117059,http://www.cha.go.kr/unisearch/images/treasure/1620077.jpg
안동 조탑리 오층전탑,안동시,보물,128.635399734616,36.4820439680148,http://www.cha.go.kr/unisearch/images/treasure/1620087.jpg
안동 안기동 석조여래좌상,안동시,보물,128.717787772242,36.572279687029,http://www.cha.go.kr/unisearch/images/treasure/1620096.jpg
영주 숙수사지 당간지주,영주시,보물,128.579600953573,36.9242225863648,http://www.cha.go.kr/unisearch/images/treasure/1620101.jpg
영주 영주동 석조여래입상,영주시,보물,128.617110264043,36.8191466895949,http://www.cha.go.kr/unisearch/images/treasure/1620107.jpg
경주 불국사 사리탑,경주시,보물,129.331621,35.790610,http://www.cha.go.kr/unisearch/images/treasure/1620114.jpg
경주 서악동 마애여래삼존입상,경주시,보물,129.175688357773,35.8333661824269,http://www.cha.go.kr/unisearch/images/treasure/1620126.jpg
경주 배동 석조여래삼존입상,경주시,보물,129.211247408685,35.8017720692457,http://www.cha.go.kr/unisearch/images/treasure/1620135.jpg
경주 보문사지 석조,경주시,보물,129.254229363082,35.8261815850046,http://www.cha.go.kr/unisearch/images/treasure/1620154.jpg
경주 서악동 삼층석탑,경주시,보물,129.18482657843,35.8279596455259,http://www.cha.go.kr/unisearch/images/treasure/1620160.jpg
경주 석빙고,경주시,보물,129.22394548465,35.8331434495042,http://www.cha.go.kr/unisearch/images/treasure/1620167.jpg
경주 효현동 삼층석탑,경주시,보물,129.169688452798,35.8232909173997,http://www.cha.go.kr/unisearch/images/treasure/1620179.jpg
경주 황남동 효자 손시양 정려비,경주시,보물,129.210983563408,35.836269476309,http://www.cha.go.kr/unisearch/images/treasure/1620185.jpg
경주 망덕사지 당간지주,경주시,보물,129.243162918554,35.8164213165065,http://www.cha.go.kr/unisearch/images/treasure/1620192.jpg
경주 서악동 귀부,경주시,보물,129.189941084065,35.8250087940259,http://www.cha.go.kr/unisearch/images/treasure/1620196.jpg
청도 봉기리 삼층석탑,청도군,보물,128.614793162587,35.6431710765805,http://www.cha.go.kr/unisearch/images/treasure/1620207.jpg
안동 평화동 삼층석탑,안동시,보물,128.716720664532,36.5678881081939,http://www.cha.go.kr/unisearch/images/treasure/1620214.jpg
안동 이천동 마애여래입상,안동시,보물,128.705249316376,36.6065554093922,http://www.cha.go.kr/unisearch/images/treasure/1620217.jpg
영주 석교리 석조여래입상,영주시,보물,128.581945065526,36.91187738303,http://www.cha.go.kr/unisearch/images/treasure/1620224.jpg
상주 화달리 삼층석탑,상주시,보물,128.223198600087,36.4447862673023,http://www.cha.go.kr/unisearch/images/treasure/1620232.jpg
상주 증촌리 석조여래입상,상주시,보물,128.171560642364,36.5681389743447,http://www.cha.go.kr/unisearch/images/treasure/1620240.jpg
상주 복용동 석조여래좌상,상주시,보물,128.162037407286,36.4169341069809,http://www.cha.go.kr/unisearch/images/treasure/1620244.jpg
상주 증촌리 석조여래좌상,상주시,보물,128.17156541947,36.5681526274911,http://www.cha.go.kr/unisearch/images/treasure/1620250.jpg
경주 굴불사지 석조사면불상,경주시,보물,129.2300760894,35.8577781366711,http://www.cha.go.kr/unisearch/images/treasure/1620257.jpg
경주 율동 마애여래삼존입상,경주시,보물,129.174539387363,35.8047107980655,http://www.cha.go.kr/unisearch/images/treasure/1620270.jpg
경주 보문사지 당간지주,경주시,보물,129.252743665298,35.8251761006521,http://www.cha.go.kr/unisearch/images/treasure/1620282.jpg
경주 남산동 동·서 삼층석탑,경주시,보물,129.24401221261,35.7931261692767,http://www.cha.go.kr/unisearch/images/treasure/1620287.jpg
경주 무장사지 아미타불 조상 사적비,경주시,보물,129.351130587927,35.8809386096532,http://www.cha.go.kr/unisearch/images/treasure/1620303.jpg
경주 무장사지 삼층석탑,경주시,보물,129.350206829991,35.8813417344977,http://www.cha.go.kr/unisearch/images/treasure/1620310.jpg
경주 삼랑사지 당간지주,경주시,보물,129.201942957476,35.8457147013099,http://www.cha.go.kr/unisearch/images/treasure/1620314.jpg
경주 남산 미륵곡 석조여래좌상,경주시,보물,129.235633710182,35.8115224865444,http://www.cha.go.kr/unisearch/images/treasure/1620321.jpg
문경 봉암사 지증대사탑,문경시,보물,128.005505452229,36.7006267092509,http://www.cha.go.kr/unisearch/images/treasure/1620334.jpg
봉암사지증대사적조탑비,문경시,보물,128.014761,36.7014849,http://www.cha.go.kr/unisearch/images/treasure/1620344.jpg
예천 용문사 대장전,예천군,보물,128.369685791887,36.7314986675229,http://www.cha.go.kr/unisearch/images/treasure/1620354.jpg
경주 천군동 동·서 삼층석탑,경주시,보물,129.281191258188,35.8315718459164,http://www.cha.go.kr/unisearch/images/treasure/1620415.jpg
문경 봉암사 삼층석탑,문경시,보물,128.005250624069,36.7000963396358,http://www.cha.go.kr/unisearch/images/treasure/1620424.jpg
문경 봉암사 정진대사탑,문경시,보물,128.010179,36.701350,http://www.cha.go.kr/unisearch/images/treasure/1620432.jpg
문경 봉암사 정진대사탑비,문경시,보물,128.009909,36.699629,http://www.cha.go.kr/unisearch/images/treasure/1620443.jpg
안동 임청각,안동시,보물,128.744690946119,36.565112782905,http://www.cha.go.kr/unisearch/images/treasure/1620451.jpg
경주 남산 용장사곡 삼층석탑,경주시,보물,129.223073,35.780935,http://www.cha.go.kr/unisearch/images/treasure/1620465.jpg
경주 남산 용장사곡 석조여래좌상,경주시,보물,129.222798835044,35.780797284503,http://www.cha.go.kr/unisearch/images/treasure/1620478.jpg
의성 관덕리 삼층석탑,의성군,보물,128.69139167469,36.4314724055796,http://www.cha.go.kr/unisearch/images/treasure/1620487.jpg
칠곡 송림사 오층전탑,칠곡군,보물,128.577599383772,35.9821378028502,http://www.cha.go.kr/unisearch/images/treasure/1620493.jpg
청도 운문사 금당 앞 석등,청도군,보물,128.959749,35.660872,http://www.cha.go.kr/unisearch/images/treasure/1620506.jpg
경주 남산 불곡 마애여래좌상,경주시,보물,129.23047370725,35.8190106406646,http://www.cha.go.kr/unisearch/images/treasure/1620510.jpg
경주 남산 신선암 마애보살반가상,경주시,보물,129.234960901358,35.7715094135097,http://www.cha.go.kr/unisearch/images/treasure/1620517.jpg
경주남산칠불암마애석불,경주시,보물,129.2314615,35.7944709,http://www.cha.go.kr/unisearch/images/treasure/1620527.jpg
경주 남산 탑곡 마애불상군,경주시,보물,129.232812251834,35.8146590446083,http://www.cha.go.kr/unisearch/images/treasure/1620544.jpg
청도 박곡리 석조여래좌상,청도군,보물,128.922509910447,35.6685116181331,http://www.cha.go.kr/unisearch/images/treasure/1620588.jpg
청도 운문사 동호,청도군,보물,128.960044,35.6611389,http://www.cha.go.kr/unisearch/images/treasure/1620594.jpg
안동 도산서원 전교당,안동시,보물,128.843464,36.727384,http://www.cha.go.kr/unisearch/images/treasure/1620596.jpg
안동 도산서원 상덕사 및 삼문,안동시,보물,128.843615,36.727486,http://www.cha.go.kr/unisearch/images/treasure/1620604.jpg
영주 북지리 석조여래좌상,영주시,보물,128.687403109138,36.9998425965704,http://www.cha.go.kr/unisearch/images/treasure/2020031017444400.jpg
영주 북지리 석조여래좌상,영주시,보물,128.6875427,36.9998346,http://www.cha.go.kr/unisearch/images/treasure/2020031017475400.jpg
영주 가흥동 마애여래삼존상 및 여래좌상,영주시,보물,128.612923411702,36.8099469586456,http://www.cha.go.kr/unisearch/images/treasure/1620618.jpg
분청사기 상감모란문 매병,경산시,보물,128.7531392,35.8330552,http://www.cha.go.kr/unisearch/images/treasure/1620630.jpg
안동 개목사 원통전,안동시,보물,128.667959465301,36.6580186556625,http://www.cha.go.kr/unisearch/images/treasure/1620631.jpg
김천 갈항사지 석조여래좌상,김천시,보물,128.272034270523,36.0881706754289,http://www.cha.go.kr/unisearch/images/treasure/1620646.jpg
의성 고운사 석조여래좌상,의성군,보물,128.750740564392,36.4585425916718,http://www.cha.go.kr/unisearch/images/treasure/1620655.jpg
영주 부석사 삼층석탑,영주시,보물,128.687932173334,36.9988238521118,http://www.cha.go.kr/unisearch/images/treasure/1620661.jpg
칠곡 선봉사 대각국사비,칠곡군,보물,128.327952618938,36.0869017236056,http://www.cha.go.kr/unisearch/images/treasure/1620667.jpg
포항 보경사 원진국사비,포항시,보물,129.318099,36.252532,http://www.cha.go.kr/unisearch/images/treasure/1620685.jpg
영주 부석사 당간지주,영주시,보물,128.685640769175,36.9973834352186,http://www.cha.go.kr/unisearch/images/treasure/1620691.jpg
김천 청암사 수도암 석조보살좌상,김천시,보물,127.996671865719,35.8620025957687,http://www.cha.go.kr/unisearch/images/treasure/1620698.jpg
김천 청암사 수도암 동·서 삼층석탑,김천시,보물,127.996749,35.861847,http://www.cha.go.kr/unisearch/images/treasure/1620699.jpg
안동 석빙고,안동시,보물,128.762686322711,36.5750773094616,http://www.cha.go.kr/unisearch/images/treasure/1620709.jpg
안동 하회 양진당,안동시,보물,128.516671,36.538971,http://www.cha.go.kr/unisearch/images/treasure/1620714.jpg
김천 청암사 수도암 석조비로자나불좌상,김천시,보물,127.996516414689,35.8618277257762,http://www.cha.go.kr/unisearch/images/treasure/1620728.jpg
감지금니 묘법연화경 권3~4,경주시,보물,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/treasure/1620739.jpg
"백지묵서 묘법연화경 권1, 3",경주시,보물,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/treasure/1620740.jpg
청도 운문사 원응국사비,청도군,보물,128.960904,35.660896,http://www.cha.go.kr/unisearch/images/treasure/1620741.jpg
청도 운문사 석조여래좌상,청도군,보물,128.960149571595,35.6611455089746,http://www.cha.go.kr/unisearch/images/treasure/1620746.jpg
청도 운문사 석조사천왕상,청도군,보물,128.960139,35.661059,http://www.cha.go.kr/unisearch/images/treasure/1620753.jpg
김천 직지사 석조약사여래좌상,김천시,보물,128.0040771,36.1167724,http://www.cha.go.kr/unisearch/images/treasure/1620770.jpg
청도 석빙고,청도군,보물,128.708408254502,35.649433729026,http://www.cha.go.kr/unisearch/images/treasure/1620774.jpg
의성 빙산사지 오층석탑,의성군,보물,128.755646798823,36.2308026426701,http://www.cha.go.kr/unisearch/images/treasure/1620785.jpg
서봉총 금관,경주시,보물,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/treasure/1620790.jpg
감은사지 서 삼층석탑 사리장엄구,경주시,보물,129.227912382125,35.8293874259588,http://www.cha.go.kr/unisearch/images/treasure/1613325.jpg
경주 양동 무첨당,경주시,보물,129.252714343803,36.0019540487402,http://www.cha.go.kr/unisearch/images/treasure/1620795.jpg
경주 양동 향단,경주시,보물,129.252884111713,36.0000741830292,http://www.cha.go.kr/unisearch/images/treasure/1620813.jpg
경주 독락당,경주시,보물,129.160115532116,36.0166712648004,http://www.cha.go.kr/unisearch/images/treasure/1620833.jpg
안동 하회 충효당,안동시,보물,128.51709753747,36.5384472416869,http://www.cha.go.kr/unisearch/images/treasure/1620846.jpg
경주 기림사 건칠보살반가상,경주시,보물,129.3971458,35.8391182,http://www.cha.go.kr/unisearch/images/treasure/1620861.jpg
예천 청룡사 석조여래좌상,예천군,보물,128.400942795273,36.7310784835794,http://www.cha.go.kr/unisearch/images/treasure/1620864.jpg
예천 청룡사 석조비로자나불좌상,예천군,보물,128.400923448357,36.7310802495089,http://www.cha.go.kr/unisearch/images/treasure/1620877.jpg
예천 동본리 삼층석탑,예천군,보물,128.461758837065,36.6589334920695,http://www.cha.go.kr/unisearch/images/treasure/1620886.jpg
예천 동본리 석조여래입상,예천군,보물,128.461707544689,36.6590201946481,http://www.cha.go.kr/unisearch/images/treasure/1620901.jpg
군위 인각사 보각국사탑 및 비,군위군,보물,128.778977,36.127581,http://www.cha.go.kr/unisearch/images/treasure/1620913.jpg
경산 불굴사 삼층석탑,경산시,보물,128.778819,35.945194,http://www.cha.go.kr/unisearch/images/treasure/1620922.jpg
포항 보경사 승탑,포항시,보물,129.318992046986,36.254304710929,http://www.cha.go.kr/unisearch/images/treasure/1620928.jpg
