문화재명,시군구명,종목,경도,위도,대표이미지
광양 중흥산성 쌍사자 석등,북구,국보,126.883091194016,35.1890949671163,http://www.cha.go.kr/unisearch/images/national_treasure/1611999.jpg
화순 대곡리 청동기 일괄,북구,국보,126.883091194016,35.1890949671163,http://www.cha.go.kr/unisearch/images/national_treasure/1612004.jpg
(전)광주 성거사지 오층석탑,남구,보물,126.907895345621,35.147901371467,http://www.cha.go.kr/unisearch/images/treasure/1615465.jpg
광주 지산동 오층석탑,동구,보물,126.933087626735,35.148910730521,http://www.cha.go.kr/unisearch/images/treasure/1615470.jpg
광주 증심사 철조비로자나불좌상,동구,보물,126.9699881,35.1287146,http://www.cha.go.kr/unisearch/images/treasure/1615474.jpg
노인 금계일기,북구,보물,126.9231228,35.1461042,http://www.cha.go.kr/unisearch/images/treasure/1615476.jpg
정지장군 갑옷,북구,보물,126.888462263732,35.1842268004769,http://www.cha.go.kr/unisearch/images/treasure/1615477.jpg
필암서원 문적 일괄,북구,보물,126.883091194016,35.1890949671163,http://www.cha.go.kr/unisearch/images/treasure/1619302.jpg
광주 약사암 석조여래좌상,동구,보물,126.972500694689,35.1222922340874,http://www.cha.go.kr/unisearch/images/treasure/1615504.jpg
심득경 초상,북구,보물,126.883091194016,35.1890949671163,http://www.cha.go.kr/unisearch/images/treasure/1615510.jpg
광주 자운사 목조아미타여래좌상 및 복장유물,동구,보물,126.9413548,35.148085,http://www.cha.go.kr/unisearch/images/treasure/1615511.jpg
광주 충효동 요지,북구,사적,126.996566571311,35.168798976881,http://www.cha.go.kr/unisearch/images/history_site/1625344.jpg
광주 신창동 유적,광산구,사적,126.848610152198,35.1956060337542,http://www.cha.go.kr/unisearch/images/history_site/1625348.jpg
광주 환벽당 일원,북구,명승,127.003111792519,35.1859494204491,http://www.cha.go.kr/unisearch/images/scenic_site/1628744.jpg
무등산주상절리대,동구,천연기념물,127.002411138885,35.1195853414992,http://www.cha.go.kr/unisearch/images/natural_monument/1629710.jpg
광주 충효동 왕버들 군,북구,천연기념물,127.00104511806,35.1847491161207,http://www.cha.go.kr/unisearch/images/natural_monument/1629720.jpg
김덕령장군 의복,북구,국가민속문화재,126.9786158,35.1628725,http://www.cha.go.kr/unisearch/images/imp_folklore_material/1633593.jpg
고운 묘 출토유물,북구,국가민속문화재,126.888545,35.1832569,http://www.cha.go.kr/unisearch/images/imp_folklore_material/1633618.jpg
증심사삼층석탑,동구,시도유형문화재,126.970267565862,35.1288818248376,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637136.jpg
십신사지석불,북구,시도유형문화재,126.888545,35.1832569,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637137.jpg
십신사지석비,북구,시도유형문화재,126.888545,35.1832569,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637138.jpg
운천사마애여래좌상,서구,시도유형문화재,126.854200958779,35.1419547622212,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637139.jpg
재명석등,동구,시도유형문화재,126.9201751,35.1467301,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637140.jpg
전남도청회의실,동구,시도유형문화재,126.920375364631,35.1473041729212,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637141.jpg
