문화재명,시군구명,종목,경도,위도,대표이미지
구미 선산읍 금동여래입상,수성구,국보,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/national_treasure/1611964.jpg
구미 선산읍 금동보살입상,수성구,국보,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/national_treasure/1611965.jpg
구미 선산읍 금동보살입상,수성구,국보,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/national_treasure/1611966.jpg
대구 산격동 연화 운룡장식 승탑,북구,보물,128.613334,35.888739,http://www.cha.go.kr/unisearch/images/treasure/1615131.jpg
의성 관덕동 석사자,수성구,보물,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/treasure/1620587.jpg
대구 동화사 마애여래좌상,동구,보물,128.701137307573,35.9856827493256,http://www.cha.go.kr/unisearch/images/treasure/1615136.jpg
대구 동화사 비로암 석조비로자나불좌상,동구,보물,128.702146684212,35.9922685178993,http://www.cha.go.kr/unisearch/images/treasure/1615139.jpg
대구 동화사 비로암 삼층석탑,동구,보물,128.702764,35.991914,http://www.cha.go.kr/unisearch/images/treasure/1615153.jpg
대구 동화사 금당암 동·서 삼층석탑,동구,보물,128.705250,35.992479,http://www.cha.go.kr/unisearch/images/treasure/1615161.jpg
대구 동화사 당간지주,동구,보물,128.704436464676,35.9920990735712,http://www.cha.go.kr/unisearch/images/treasure/1615167.jpg
대구 산격동 사자 주악장식 승탑,북구,보물,128.613058,35.888884,http://www.cha.go.kr/unisearch/images/treasure/1615170.jpg
분청사기 상감연화문 편병,북구,보물,128.613754539291,35.888767075809,http://www.cha.go.kr/unisearch/images/treasure/1615178.jpg
백지은니 대불정여래밀인수증요의제보살만행수능엄경 권10,북구,보물,128.612020927004,35.891602359346,http://www.cha.go.kr/unisearch/images/treasure/1615180.jpg
칠곡 송림사 오층전탑 사리장엄구,수성구,보물,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/treasure/1615181.jpg
석조비로자나불좌상,북구,보물,128.613754539291,35.888767075809,http://www.cha.go.kr/unisearch/images/treasure/1615195.jpg
달성 도동서원 중정당·사당·담장,달성군,보물,128.371832,35.700773,http://www.cha.go.kr/unisearch/images/treasure/1615196.jpg
칠곡 정도사지 오층석탑,수성구,보물,128.638386776689,35.8455902213584,http://www.cha.go.kr/unisearch/images/treasure/1613278.jpg
대구 무술명 오작비,북구,보물,128.613754539291,35.888767075809,http://www.cha.go.kr/unisearch/images/treasure/1615217.jpg
달성 용연사 금강계단,달성군,보물,128.518800302081,35.7493880822271,http://www.cha.go.kr/unisearch/images/treasure/1615221.jpg
달성 태고정,달성군,보물,128.416704,35.911303,http://www.cha.go.kr/unisearch/images/treasure/1615232.jpg
대구 도학동 승탑,동구,보물,128.704896,35.992232,http://www.cha.go.kr/unisearch/images/treasure/1615237.jpg
달성 현풍 석빙고,달성군,보물,128.451890,35.697744,http://www.cha.go.kr/unisearch/images/treasure/1615241.jpg
대구 북지장사 지장전,동구,보물,128.714794,35.976337,http://www.cha.go.kr/unisearch/images/treasure/1615252.jpg
김일손 거문고,수성구,보물,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/treasure/1621813.jpg
대구 파계사 건칠관음보살좌상 및 복장유물,동구,보물,128.6404767,36.0014938,http://www.cha.go.kr/unisearch/images/treasure/1615265.jpg
봉화 북지리 석조반가상,북구,보물,128.613754539291,35.888767075809,http://www.cha.go.kr/unisearch/images/treasure/1615266.jpg
파계사 영산회상도,동구,보물,128.6404767,36.0014938,http://www.cha.go.kr/unisearch/images/treasure/1615268.jpg
밀성박씨 삼우정파 종중 고문서,수성구,보물,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/treasure/1622138.jpg
대장일람집,달서구,보물,128.4893367,35.8552388,http://www.cha.go.kr/unisearch/images/treasure/1615286.jpg
"용비어천가 권8, 9, 10",달서구,보물,128.4893367,35.8552388,http://www.cha.go.kr/unisearch/images/treasure/1615291.jpg
사마방목,달서구,보물,128.4893367,35.8552388,http://www.cha.go.kr/unisearch/images/treasure/1615295.jpg
도은선생집,달서구,보물,128.4893367,35.8552388,http://www.cha.go.kr/unisearch/images/treasure/1615298.jpg
진일유고,달서구,보물,128.4893367,35.8552388,http://www.cha.go.kr/unisearch/images/treasure/1615300.jpg
대구 동화사 사명당 유정 진영,동구,보물,128.7036904,35.9933036,http://www.cha.go.kr/unisearch/images/treasure/1615303.jpg
대구 동화사 대웅전,동구,보물,128.704236,35.993199,http://www.cha.go.kr/unisearch/images/treasure/1615304.jpg
대구 동화사 목조약사여래좌상 복장전적,동구,보물,128.7036904,35.9933036,http://www.cha.go.kr/unisearch/images/treasure/1615307.jpg
대구 동화사 아미타회상도,동구,보물,128.7036904,35.9933036,http://www.cha.go.kr/unisearch/images/treasure/1615308.jpg
이헌국 호성공신교서,수성구,보물,128.637925230409,35.8458590712431,http://www.cha.go.kr/unisearch/images/treasure/1615309.jpg
신한첩-신한첩 곤,달서구,보물,128.5327576,35.8298561,http://www.cha.go.kr/unisearch/images/no_image.gif
대구 파계사 원통전,동구,보물,128.641069,36.001568,http://www.cha.go.kr/unisearch/images/treasure/2338481.jpg
달성 하목정,달성군,보물,128.397376,35.881630,http://www.cha.go.kr/unisearch/images/treasure/2019122715264100.JPG
대구 달성,중구,사적,128.577659106867,35.8738752888425,http://www.cha.go.kr/unisearch/images/history_site/1625150.jpg
대구 불로동 고분군,동구,사적,128.64796309896,35.913610308999,http://www.cha.go.kr/unisearch/images/history_site/1625153.jpg
대구 계산동성당,중구,사적,128.587794117871,35.8679125781172,http://www.cha.go.kr/unisearch/images/history_site/1625156.jpg
대구 진천동 입석,달서구,사적,128.522061734793,35.8099123042631,http://www.cha.go.kr/unisearch/images/history_site/1625162.jpg
구 대구의학전문학교 본관,중구,사적,128.604497361535,35.8677946949046,http://www.cha.go.kr/unisearch/images/history_site/1625169.jpg
구 도립대구병원,중구,사적,128.604294527176,35.8667596760972,http://www.cha.go.kr/unisearch/images/history_site/1625178.jpg
