문화재명,시군구명,종목,경도,위도,대표이미지
원주 법천사지 지광국사탑,유성구,국보,126.975393071449,37.5771469985309,http://www.cha.go.kr/unisearch/images/national_treasure/1611531.jpg
대전 회덕 동춘당,대덕구,보물,127.441416,36.364856,http://www.cha.go.kr/unisearch/images/treasure/1615512.jpg
이시방 초상,유성구,보물,127.323927393046,36.3718371833675,http://www.cha.go.kr/unisearch/images/treasure/1614870.jpg
성수침 필적,유성구,보물,127.323927393046,36.3718371833675,http://www.cha.go.kr/unisearch/images/treasure/1615530.jpg
통영 측우대,유성구,보물,127.375083429742,36.3754127889834,http://www.cha.go.kr/unisearch/images/treasure/1615535.jpg
송준길 행초 서증손병하,유성구,보물,127.323927393046,36.3718371833675,http://www.cha.go.kr/unisearch/images/treasure/1615539.jpg
대전 계족산성,대덕구,사적,127.454421527167,36.3942636849767,http://www.cha.go.kr/unisearch/images/history_site/1625352.jpg
대전 괴곡동 느티나무,서구,천연기념물,127.354428838228,36.2860972053833,http://www.cha.go.kr/unisearch/images/natural_monument/1629721.jpg
대전 동춘당 종택,대덕구,국가민속문화재,127.441543,36.365240,http://www.cha.go.kr/unisearch/images/imp_folklore_material/2016083021361800.bmp
대전 소대헌·호연재 고택,대덕구,국가민속문화재,127.442585,36.365015,http://www.cha.go.kr/unisearch/images/imp_folklore_material/2016083021460100.bmp
송자대전판,동구,시도유형문화재,127.4473186,36.3489692,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637175.jpg
회덕쌍청당,대덕구,시도유형문화재,127.434611933497,36.3637009848097,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637177.jpg
"회덕동춘선생고택(정침,가묘,별묘)",대덕구,시도유형문화재,127.441427997,36.3653632085,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637179.jpg
남간정사,동구,시도유형문화재,127.456724572056,36.3477165753756,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637181.jpg
석조보살입상,유성구,시도유형문화재,127.293824748351,36.3143792963488,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637183.jpg
유회당(부)기궁재,중구,시도유형문화재,127.408489961282,36.2788640214017,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637185.jpg
옥류각,대덕구,시도유형문화재,127.45100155471,36.3727871998099,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637187.jpg
송애당,대덕구,시도유형문화재,127.432877885475,36.3646065924129,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637188.jpg
제월당및옥오재,대덕구,시도유형문화재,127.427310215427,36.3782004830485,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637189.jpg
고산사대웅전,동구,시도유형문화재,127.469365947979,36.301305181793,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637190.jpg
초려이유태유고,유성구,시도유형문화재,127.4254571,36.3612027,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637191.jpg
권준의 준호구,유성구,시도유형문화재,127.4254571,36.3612027,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637195.jpg
운부군옥,유성구,시도유형문화재,127.4254571,36.3612027,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637196.jpg
윤돈등의동복화회입의,유성구,시도유형문화재,127.4254571,36.3612027,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637197.jpg
조천신장,유성구,시도유형문화재,127.4254571,36.3612027,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637200.jpg
농암진적,유성구,시도유형문화재,127.4254571,36.3612027,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637201.jpg
만회집탄옹문집판목,서구,시도유형문화재,127.3949448,36.3447608,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637203.jpg
여경암(부)거업재산신당,중구,시도유형문화재,127.413295828435,36.2797880258487,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637205.jpg
보문산마애여래좌상,중구,시도유형문화재,127.4313606,36.3039406,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637207.jpg
유회당판각,중구,시도유형문화재,127.4084157,36.2788172,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2018101511045400.jpg
상제집략판목,유성구,시도유형문화재,127.3313654,36.2786699,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637209.jpg
용천련고판목,유성구,시도유형문화재,127.3313654,36.2786699,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637212.jpg
