문화재명,시군구명,종목,경도,위도,대표이미지
심지백 개국원종공신녹권,서구,국보,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/national_treasure/1611957.jpg
조선왕조실록 태백산사고본,연제구,국보,129.0529875,35.1906,http://www.cha.go.kr/unisearch/images/national_treasure/2593975.jpg
금동보살입상,남구,국보,129.09414818121,35.1295217022496,http://www.cha.go.kr/unisearch/images/national_treasure/1611958.jpg
부산 범어사 삼층석탑,금정구,보물,129.068414124906,35.2840296177467,http://www.cha.go.kr/unisearch/images/treasure/1615057.jpg
감지은니 묘법연화경 권3,서구,보물,129.0201433,35.1216423,http://www.cha.go.kr/unisearch/images/treasure/1615062.jpg
삼국유사 권4~5,금정구,보물,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/treasure/1615063.jpg
부산 범어사 대웅전,금정구,보물,129.068144199838,35.2839341358245,http://www.cha.go.kr/unisearch/images/treasure/1615065.jpg
안중근의사 유묵 - 견리사의견위수명,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615079.jpg
자수 초충도 병풍,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615081.jpg
궁궐도,서구,보물,129.0201433,35.1216423,http://www.cha.go.kr/unisearch/images/no_image.gif
토기 융기문 발,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615090.jpg
도기 말머리장식 뿔잔,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615091.jpg
쌍자총통,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615092.jpg
의령 보리사지 금동여래입상,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615095.jpg
조대비 사순칭경진하도 병풍,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615096.jpg
헌종가례진하도 병풍,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615099.jpg
지자총통,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615103.jpg
불조삼경,금정구,보물,129.0922773,35.2429921,http://www.cha.go.kr/unisearch/images/treasure/1615108.jpg
백자대호,남구,보물,129.084364,35.1365596,http://www.cha.go.kr/unisearch/images/treasure/1615110.jpg
부산 범어사 조계문,금정구,보물,129.069674503423,35.2837157445521,http://www.cha.go.kr/unisearch/images/treasure/1615112.jpg
이덕성 초상 및 관련 자료 일괄,남구,보물,129.09414818121,35.1295217022496,http://www.cha.go.kr/unisearch/images/treasure/1615116.jpg
영산회상도,서구,보물,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/treasure/1615117.jpg
금장요집경 권1~2,금정구,보물,129.0922773,35.2429921,http://www.cha.go.kr/unisearch/images/treasure/1615118.jpg
부산 범어사 목조석가여래삼존좌상,금정구,보물,129.0922773,35.2429921,http://www.cha.go.kr/unisearch/images/treasure/1615119.jpg
목장지도,금정구,보물,129.081358714712,35.2357852442956,http://www.cha.go.kr/unisearch/images/treasure/1615120.jpg
기장 장안사 대웅전,기장군,보물,129.232886808482,35.3748660456851,http://www.cha.go.kr/unisearch/images/treasure/1615126.jpg
부산 운수사 대웅전,사상구,보물,129.012699021903,35.1835699900739,http://www.cha.go.kr/unisearch/images/treasure/2016030216064000.JPG
김해죽도성,강서구,사적,128.8991642,35.1951594,http://www.cha.go.kr/unisearch/images/no_image.gif
기장죽성리성,기장군,사적,129.215817,35.2387394,http://www.cha.go.kr/unisearch/images/no_image.gif
부산 동래 패총,동래구,사적,129.088811795659,35.1972800194911,http://www.cha.go.kr/unisearch/images/history_site/1625126.jpg
금정산성,금정구,사적,129.053618571506,35.2542161326126,http://www.cha.go.kr/unisearch/images/history_site/1625128.jpg
부산 동삼동 패총,영도구,사적,129.079887368829,35.07043957377,http://www.cha.go.kr/unisearch/images/history_site/1625135.jpg
부산 복천동 고분군,동래구,사적,129.090554973778,35.2066638743056,http://www.cha.go.kr/unisearch/images/history_site/1625137.jpg
부산 연산동 고분군,연제구,사적,129.091546267607,35.1866781581466,http://www.cha.go.kr/unisearch/images/history_site/2017082409332300.JPG
부산 임시수도 대통령관저,서구,사적,129.017372409204,35.1034862919987,http://www.cha.go.kr/unisearch/images/history_site/2018111215570000.jpg
부산 영도 태종대,영도구,명승,129.086795591438,35.0573189689505,http://www.cha.go.kr/unisearch/images/scenic_site/1628710.jpg
부산 오륙도,남구,명승,129.126061298049,35.0938568061189,http://www.cha.go.kr/unisearch/images/scenic_site/1628722.jpg
오골계,동래구,천연기념물,129.0836402,35.2048575,http://www.cha.go.kr/unisearch/images/no_image.gif
부산 양정동 배롱나무,부산진구,천연기념물,129.061685057159,35.1779274720794,http://www.cha.go.kr/unisearch/images/natural_monument/1629509.jpg
부산 범어사 등나무 군락,금정구,천연기념물,129.071341472407,35.2824561269873,http://www.cha.go.kr/unisearch/images/natural_monument/1629520.jpg
낙동강 하류 철새 도래지,부산전역,천연기념물,128.908107840036,35.085611416387,http://www.cha.go.kr/unisearch/images/natural_monument/1629527.jpg
부산양정동의이팝나무,부산진구,천연기념물,129.073807,35.1774321,http://www.cha.go.kr/unisearch/images/no_image.gif
부산 전포동 구상반려암,부산진구,천연기념물,129.071205095443,35.1630659557551,http://www.cha.go.kr/unisearch/images/natural_monument/1629544.jpg
부산 좌수영성지 곰솔,수영구,천연기념물,129.114885174876,35.1704576804001,http://www.cha.go.kr/unisearch/images/natural_monument/1629555.jpg
부산 구포동 당숲,북구,천연기념물,129.007460968082,35.2044428070052,http://www.cha.go.kr/unisearch/images/natural_monument/1629562.jpg
부산 좌수영성지 푸조나무,수영구,천연기념물,129.114473502534,35.1702018849729,http://www.cha.go.kr/unisearch/images/natural_monument/1629568.jpg
부산괴정동의회화나무,사하구,천연기념물,128.9916157,35.0972104,http://www.cha.go.kr/unisearch/images/no_image.gif
동래부 동헌 충신당,동래구,시도유형문화재,129.086356975787,35.2032271913874,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636597.jpg
다대진동헌,사하구,시도유형문화재,128.9699095,35.0402389,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636605.jpg
망미루,동래구,시도유형문화재,129.0779477,35.2187073,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2666130.jpg
동래부 동헌 외대문,동래구,시도유형문화재,129.0732975,35.2201538,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2666142.jpg
동래향교 대성전,동래구,시도유형문화재,129.084289052744,35.2077612111874,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636615.jpg
충렬사,동래구,시도유형문화재,129.095683548838,35.201409862069,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636623.jpg
동래 장관청,동래구,시도유형문화재,129.0844791053,35.2039379626582,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636630.jpg
오층석탑,금정구,시도유형문화재,129.0681897,35.2352793,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636634.jpg
삼층석탑,서구,시도유형문화재,129.0201433,35.1216423,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636635.jpg
원효암 동편 삼층석탑,금정구,시도유형문화재,129.067003215501,35.2770656967775,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636636.jpg
원효암 서편 삼층석탑,금정구,시도유형문화재,129.065981105263,35.2764479750189,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636637.jpg
고려오층석탑,동래구,시도유형문화재,129.0765938,35.2180129,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636638.jpg
만덕사지 당간지주,북구,시도유형문화재,129.042917044908,35.2148441490948,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636640.jpg
범어사 당간지주,금정구,시도유형문화재,129.07077916353,35.2840035639402,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636642.jpg
범어사 석등,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636646.jpg
경상좌수영성 남문,수영구,시도유형문화재,129.115041027175,35.1704521550311,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636649.jpg
동모,부산진구,시도유형문화재,129.0596253,35.1563596,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636651.jpg
동모,부산진구,시도유형문화재,129.0596253,35.1563596,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636653.jpg
동파두,부산진구,시도유형문화재,129.0482097,35.1828893,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636654.jpg
군관청,동래구,시도유형문화재,129.0946634,35.2024605,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636655.jpg
범어사명부전,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/no_image.gif
범방동 삼층석탑,강서구,시도유형문화재,128.863378499397,35.1629284384465,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636658.jpg
범어사 청룡암시 목판,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2018101815552400.jpg
범어사 천수 책판,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636659.jpg
범어사 어산집 책판,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636660.jpg
범어사기·범어사창건사적·범어사고적판,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636661.jpg
범어사 선문촬요 책판,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636662.jpg
범어사 권왕문 책판,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636663.jpg
삼국유사,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/no_image.gif
범어사 태전화상주심경,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636664.jpg
범어사 함허어록,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636665.jpg
범어사 지공직지,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636666.jpg
범어사 선종영가집,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636667.jpg
범어사 불설대보부모은중경,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636668.jpg
범어사 육조대사법보단경,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636669.jpg
범어사 금강반야바라밀경변상,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636671.jpg
범어사 불조역대통재,금정구,시도유형문화재,129.0680538,35.28293,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636673.jpg
범어사 몽산화상법어약록,금정구,시도유형문화재,129.0680538,35.28293,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636674.jpg
범어사 묘법연화경,금정구,시도유형문화재,129.0680538,35.28293,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636676.jpg
내원정사 진언집,서구,시도유형문화재,129.011629,35.1285814,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636678.jpg
내원정사 조상경,서구,시도유형문화재,129.011629,35.1285814,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636680.jpg
내원정사 염불보권문,서구,시도유형문화재,129.011629,35.1285814,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636682.jpg
내원정사 묘법연화경,서구,시도유형문화재,129.011629,35.1285814,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636684.jpg
범어사명 유제시루,남구,시도유형문화재,129.0927619,35.1408349,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636686.jpg
내원정사 목조관음보살좌상,서구,시도유형문화재,129.011629,35.1285814,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636687.jpg
