문화재명,시군구명,종목,경도,위도,대표이미지
연기 봉산동 향나무, ,천연기념물,127.277222857933,36.6045100997605,http://www.cha.go.kr/unisearch/images/natural_monument/1630565.jpg
세종 홍판서댁, ,국가민속문화재,127.365179,36.534040,http://www.cha.go.kr/unisearch/images/imp_folklore_material/1633995.jpg
전의 비암사 극락보전, ,시도유형문화재,127.192100923071,36.6111973355969,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1643361.jpg
연서 효교비, ,시도유형문화재,127.247803119749,36.5766512451707,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1643363.jpg
전의 비암사 삼층석탑, ,시도유형문화재,127.191901217015,36.6110871899654,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1643365.jpg
부강초등학교 강당, ,시도유형문화재,127.366402717409,36.5266938562505,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1643367.jpg
운주산성, ,시도기념물,127.239074280947,36.6831458114394,http://www.cha.go.kr/unisearch/images/monument/1797151.jpg
김종서 장군 묘, ,시도기념물,127.213085727626,36.5212294321555,http://www.cha.go.kr/unisearch/images/monument/1658030.jpg
금남 백로 서식지, ,시도기념물,127.292982470927,36.4424269166342,http://www.cha.go.kr/unisearch/images/no_image.gif
이성, ,시도기념물,127.201499763567,36.6593674521552,http://www.cha.go.kr/unisearch/images/no_image.gif
금이성, ,시도기념물,127.203756759164,36.6330617770221,http://www.cha.go.kr/unisearch/images/monument/1797205.jpg
연기향교, ,시도기념물,127.28116792469,36.543354529759,http://www.cha.go.kr/unisearch/images/monument/1658032.jpg
전의향교, ,시도기념물,127.200728991786,36.6801953370565,http://www.cha.go.kr/unisearch/images/monument/1658034.jpg
연기 세종리 은행나무, ,시도기념물,127.291858230936,36.5042059199206,http://www.cha.go.kr/unisearch/images/monument/1823998.jpg
부강 남성골산성, ,시도기념물,127.376418774697,36.5298801673191,http://www.cha.go.kr/unisearch/images/no_image.gif
금남 문절사, ,문화재자료,127.348891328165,36.465912002236,http://www.cha.go.kr/unisearch/images/cultural_material/1666853.jpg
연동 합호서원, ,문화재자료,127.327359517458,36.5232494483836,http://www.cha.go.kr/unisearch/images/cultural_material/1666854.jpg
소정 대곡리 삼층석탑, ,문화재자료,127.165464240239,36.7211126466648,http://www.cha.go.kr/unisearch/images/cultural_material/1666856.jpg
연동 송용리 마애여래입상, ,문화재자료,127.324328562625,36.558909797954,http://www.cha.go.kr/unisearch/images/cultural_material/1666857.jpg
조치원 봉산영당, ,문화재자료,127.281344079407,36.6071937074053,http://www.cha.go.kr/unisearch/images/cultural_material/1666860.jpg
장군 덕천군사우, ,문화재자료,127.192859647117,36.5520728367379,http://www.cha.go.kr/unisearch/images/cultural_material/1797531.jpg
금남 남산영당, ,문화재자료,127.249751509462,36.4099253499902,http://www.cha.go.kr/unisearch/images/cultural_material/1666861.jpg
나성 독락정, ,문화재자료,127.270748571982,36.4806691125252,http://www.cha.go.kr/unisearch/images/cultural_material/1666862.jpg
금남 모인당, ,문화재자료,127.274811205685,36.44281409311,http://www.cha.go.kr/unisearch/images/cultural_material/1666863.jpg
부강 보만정 및 검담서원 묘정비, ,문화재자료,127.355978905402,36.5017545418171,http://www.cha.go.kr/unisearch/images/no_image.gif
세종 구 산일제사 공장, ,등록문화재,127.299695,36.597881,http://www.cha.go.kr/unisearch/images/register/2019060414283300.JPG
세종 부강성당, ,등록문화재,127.369958,36.530609,http://www.cha.go.kr/unisearch/images/register/2020070210580600.jpg
