문화재명,시군구명,종목,경도,위도,대표이미지
울주 천전리 각석,울주군,국보,129.175090935504,35.6143464249842,http://www.cha.go.kr/unisearch/images/national_treasure/1612015.jpg
울주 대곡리 반구대 암각화,울주군,국보,129.177842844766,35.6038151324587,http://www.cha.go.kr/unisearch/images/national_treasure/1612022.jpg
울주 망해사지 승탑,울주군,보물,129.238075712455,35.5328387012262,http://www.cha.go.kr/unisearch/images/treasure/1615540.jpg
울주 석남사 승탑,울주군,보물,129.032633318151,35.6216999807517,http://www.cha.go.kr/unisearch/images/treasure/1615548.jpg
울주 간월사지 석조여래좌상,울주군,보물,129.072736341683,35.5554301483141,http://www.cha.go.kr/unisearch/images/treasure/1615557.jpg
울주 청송사지 삼층석탑,울주군,보물,129.22336544877,35.5224330454536,http://www.cha.go.kr/unisearch/images/treasure/1615565.jpg
울산 태화사지 십이지상 사리탑,남구,보물,129.308661,35.527223,http://www.cha.go.kr/unisearch/images/treasure/2306129.jpg
이종주 고신왕지 및 이임 무과홍패,남구,보물,129.308703844304,35.5271700401366,http://www.cha.go.kr/unisearch/images/treasure/1621991.jpg
울주 천황산 요지,울주군,사적,129.00824278197,35.5744017921671,http://www.cha.go.kr/unisearch/images/history_site/1625370.jpg
울주 언양읍성,울주군,사적,129.122702756635,35.5684962155523,http://www.cha.go.kr/unisearch/images/history_site/1625373.jpg
울산 경상좌도병영성,중구,사적,129.346118871791,35.5757580831294,http://www.cha.go.kr/unisearch/images/history_site/1625379.jpg
울주 검단리 유적,울주군,사적,129.181719358422,35.4484378793688,http://www.cha.go.kr/unisearch/images/history_site/1625381.jpg
울산 약사동 제방,중구,사적,129.337091039765,35.5763223866885,http://www.cha.go.kr/unisearch/images/history_site/2305487.jpg
울주 구량리 은행나무,울주군,천연기념물,129.134913894853,35.6217209840459,http://www.cha.go.kr/unisearch/images/natural_monument/1629723.jpg
울주 목도 상록수림,울주군,천연기념물,129.352028657056,35.4490763610919,http://www.cha.go.kr/unisearch/images/natural_monument/1629729.jpg
가지산 철쭉나무 군락,울주군,천연기념물,129.0159623362,35.6166642488639,http://www.cha.go.kr/unisearch/images/natural_monument/1629740.jpg
학성 이천기 일가 묘 출토복식,남구,국가민속문화재,129.3047961,35.5472645,http://www.cha.go.kr/unisearch/images/imp_folklore_material/1633660.jpg
울산동헌및내아,중구,시도유형문화재,129.319960918433,35.55824368905,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637244.jpg
울주 상천리 통도사 국장생 석표,울주군,시도유형문화재,129.109983716437,35.5208453225802,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637246.jpg
청송사지부도,울주군,시도유형문화재,129.223402133353,35.5207394540942,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637249.jpg
운흥사지부도,울주군,시도유형문화재,129.154029596915,35.4496338392265,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637252.jpg
석남사삼층석탑,울주군,시도유형문화재,129.031922486315,35.6209810129497,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637254.jpg
어물동마애여래좌상,북구,시도유형문화재,129.439726499069,35.5784127837794,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637257.jpg
울산향교,중구,시도유형문화재,129.31575281892,35.560601837304,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637260.jpg
언양향교,울주군,시도유형문화재,129.114034287091,35.5568737350004,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637264.jpg
언양현호적대장,남구,시도유형문화재,129.2948613,35.5337385,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637267.jpg
효자송도선생정려비,중구,시도유형문화재,129.320628869292,35.5585189907508,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637269.jpg
동축사삼층석탑,동구,시도유형문화재,129.418990041624,35.5482742731059,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637270.jpg
경숙옹주태실및비,울주군,시도유형문화재,129.194723913257,35.574450509577,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637271.jpg
반고서원유허비,울주군,시도유형문화재,129.173980935327,35.6083730334995,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1637273.jpg
