문화재명,시군구명,종목,경도,위도,대표이미지
초조본 유가사지론 권53,연수구,국보,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/national_treasure/1611997.jpg
강화 장정리 오층석탑,강화군,보물,126.420042864761,37.7800208605254,http://www.cha.go.kr/unisearch/images/treasure/1615329.jpg
사인비구 제작 동종 - 강화 동종,강화군,보물,126.4835663,37.7483209,http://www.cha.go.kr/unisearch/images/treasure/1615341.jpg
강화 정수사 법당,강화군,보물,126.445345,37.607783,http://www.cha.go.kr/unisearch/images/treasure/1615343.jpg
강화 전등사 대웅전,강화군,보물,126.484766,37.632094,http://www.cha.go.kr/unisearch/images/treasure/1615360.jpg
강화 전등사 약사전,강화군,보물,126.484394,37.632143,http://www.cha.go.kr/unisearch/images/treasure/1615374.jpg
전등사 철종,강화군,보물,126.4849558,37.6328895,http://www.cha.go.kr/unisearch/images/treasure/1615384.jpg
강화 장정리 석조여래입상,강화군,보물,126.424437244233,37.7812646971007,http://www.cha.go.kr/unisearch/images/treasure/1615395.jpg
강화 백련사 철조아미타여래좌상,강화군,보물,126.437003,37.7513366,http://www.cha.go.kr/unisearch/images/treasure/1615402.jpg
대방광불화엄경 정원본 권31,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615404.jpg
재조본 경률이상 권1,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615407.jpg
향약제생집성방 권6,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615410.jpg
태산요록,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615414.jpg
신응경,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615420.jpg
"초조본 대방광불화엄경 주본 권67, 77",연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615424.jpg
초조본 십주비바사론 권17,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615427.jpg
산거사요,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615432.jpg
우주두율,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615442.jpg
식물본초,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615447.jpg
간이벽온방(언해),연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615451.jpg
세의득효방 권10~11,연수구,보물,126.6567179,37.4198044,http://www.cha.go.kr/unisearch/images/treasure/1615455.jpg
강화 삼랑성,강화군,사적,126.484834184209,37.6325567976286,http://www.cha.go.kr/unisearch/images/history_site/1625201.jpg
강화산성,강화군,사적,126.479997573738,37.7481578250742,http://www.cha.go.kr/unisearch/images/history_site/1625209.jpg
강화 고려궁지,강화군,사적,126.484442977714,37.7523285119731,http://www.cha.go.kr/unisearch/images/history_site/1625219.jpg
강화 참성단,강화군,사적,126.430194107955,37.6160955242566,http://www.cha.go.kr/unisearch/images/history_site/1625226.jpg
강화 부근리 지석묘,강화군,사적,126.436660058432,37.7742424675164,http://www.cha.go.kr/unisearch/images/history_site/1625231.jpg
인천 경서동 녹청자 요지,서구,사적,126.661457454211,37.5606787386765,http://www.cha.go.kr/unisearch/images/history_site/1625238.jpg
강화 홍릉,강화군,사적,126.441386656552,37.7427217829939,http://www.cha.go.kr/unisearch/images/history_site/1625244.jpg
강화 초지진,강화군,사적,126.532535,37.632749,http://www.cha.go.kr/unisearch/images/history_site/1625247.jpg
강화 덕진진,강화군,사적,126.524394,37.649317,http://www.cha.go.kr/unisearch/images/history_site/1625252.jpg
강화 광성보,강화군,사적,126.530093,37.664984,http://www.cha.go.kr/unisearch/images/history_site/1625257.jpg
강화 선원사지,강화군,사적,126.491615699234,37.7203492843799,http://www.cha.go.kr/unisearch/images/history_site/1625263.jpg
인천 답동성당,중구,사적,126.629910311899,37.4710799747901,http://www.cha.go.kr/unisearch/images/history_site/1625270.jpg
강화 갑곶돈,강화군,사적,126.516568,37.733140,http://www.cha.go.kr/unisearch/images/history_site/1625290.jpg
강화 석릉,강화군,사적,126.453791260135,37.6672298195501,http://www.cha.go.kr/unisearch/images/history_site/1625295.jpg
강화 가릉,강화군,사적,126.431410,37.659710,http://www.cha.go.kr/unisearch/images/history_site/1625304.jpg
강화 곤릉,강화군,사적,126.463392177884,37.6690222408297,http://www.cha.go.kr/unisearch/images/history_site/1625315.jpg
대한성공회 강화성당,강화군,사적,126.485564244414,37.7494375214284,http://www.cha.go.kr/unisearch/images/history_site/1625326.jpg
강화 외성,강화군,사적,126.520343771929,37.6998731176561,http://www.cha.go.kr/unisearch/images/history_site/1625333.jpg
인천 계양산성,계양구,사적,126.726777,37.550708,http://www.cha.go.kr/unisearch/images/history_site/2020051813094700.jpg
인천 팔미도 등대,중구,사적,126.510835975616,37.358272056926,http://www.cha.go.kr/unisearch/images/history_site/2020091511024800.png
옹진 백령도 두무진,옹진군,명승,124.616178324674,37.9744773261671,http://www.cha.go.kr/unisearch/images/scenic_site/1628726.jpg
옹진 대청도 동백나무 자생북한지,옹진군,천연기념물,124.685401896291,37.8177877498982,http://www.cha.go.kr/unisearch/images/natural_monument/1629601.jpg
강화 갑곶리 탱자나무,강화군,천연기념물,126.516542650406,37.7343671110896,http://www.cha.go.kr/unisearch/images/natural_monument/1629607.jpg
강화 사기리 탱자나무,강화군,천연기념물,126.458112891548,37.6168085491419,http://www.cha.go.kr/unisearch/images/natural_monument/1629616.jpg
강화 볼음도 은행나무,강화군,천연기념물,126.174689361118,37.6765654109033,http://www.cha.go.kr/unisearch/images/natural_monument/1629623.jpg
인천 신현동 회화나무,서구,천연기념물,126.667456788376,37.5165456161787,http://www.cha.go.kr/unisearch/images/natural_monument/1629628.jpg
옹진 신도 노랑부리백로와 괭이갈매기 번식지,옹진군,천연기념물,126.344996725713,37.5132615680577,http://www.cha.go.kr/unisearch/images/natural_monument/1629638.jpg
옹진 백령도 사곶 사빈(천연비행장),옹진군,천연기념물,124.72166817391,37.9446223887471,http://www.cha.go.kr/unisearch/images/natural_monument/1629647.jpg
옹진 백령도 남포리 콩돌해안,옹진군,천연기념물,124.70685577986,37.9291315281374,http://www.cha.go.kr/unisearch/images/natural_monument/1629657.jpg
옹진 백령도 진촌리 감람암포획 현무암분포지,옹진군,천연기념물,124.733400079035,37.9754254114631,http://www.cha.go.kr/unisearch/images/natural_monument/1629670.jpg
강화 갯벌 및 저어새 번식지,강화군,천연기념물,126.189779602851,37.6524795734106,http://www.cha.go.kr/unisearch/images/natural_monument/1629682.jpg
강화 참성단 소사나무,강화군,천연기념물,126.43020726631,37.6161349330992,http://www.cha.go.kr/unisearch/images/natural_monument/1629688.jpg
옹진 백령도 남포리 습곡구조,옹진군,천연기념물,124.673368426452,37.9217244216495,http://www.cha.go.kr/unisearch/images/natural_monument/1629690.jpg
옹진 소청도 스트로마톨라이트 및 분바위,옹진군,천연기념물,124.768670314441,37.7674572213726,http://www.cha.go.kr/unisearch/images/natural_monument/1629700.jpg
옹진 백령도 연화리 무궁화,옹진군,천연기념물,124.654324069315,37.9280718757534,http://www.cha.go.kr/unisearch/images/natural_monument/1629709.jpg
인천도호부관아,미추홀구,시도유형문화재,126.683263109896,37.4396609237825,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2019102116095204.jpg
부평도호부관아,계양구,시도유형문화재,126.724452134414,37.5420771016323,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2019102116124600.jpg
원대철제범종,연수구,시도유형문화재,126.6531293,37.4204707,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2018111914282900.jpg
송대철제범종,연수구,시도유형문화재,126.6531293,37.4204707,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2015122810360100.JPG
관음좌상,연수구,시도유형문화재,126.6531293,37.4204707,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2018111914302100.jpg
논현포대,남동구,시도유형문화재,126.704748851821,37.4041091503045,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636970.jpg
구)인천일본제1은행지점,중구,시도유형문화재,126.620540465298,37.4732687456102,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2015122811073800.JPG
