문화재명,시군구명,종목,경도,위도,대표이미지
서울 숭례문,중구,국보,126.975312652739,37.559975221378,http://www.cha.go.kr/unisearch/images/national_treasure/2685609.jpg
서울 원각사지 십층석탑,종로구,국보,126.988207994364,37.5715461695449,http://www.cha.go.kr/unisearch/images/national_treasure/1611449.jpg
서울 북한산 신라 진흥왕 순수비,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611458.jpg
청자 사자형뚜껑 향로,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611463.jpg
청자 어룡형 주전자,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611464.jpg
청자 기린형뚜껑 향로,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611465.jpg
청자 상감연지원앙문 정병,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611466.jpg
청자 상감운학문 매병,성북구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611467.jpg
훈민정음,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611468.jpg
"동국정운 권1, 6",중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611476.jpg
금동계미명삼존불입상,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611478.jpg
금동삼존불감,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611479.jpg
청자 오리모양 연적,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611481.jpg
금동미륵보살반가사유상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611483.jpg
경주 구황동 금제여래좌상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611486.jpg
경주 구황동 금제여래입상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611487.jpg
경주 감산사 석조미륵보살입상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611488.jpg
경주 감산사 석조아미타여래입상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611490.jpg
금동미륵보살반가사유상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611492.jpg
금동신묘명삼존불입상,용산구,국보,126.9654442,37.5384272,http://www.cha.go.kr/unisearch/images/national_treasure/1611493.jpg
개성 경천사지 십층석탑,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611495.jpg
평양 석암리 금제 띠고리,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611501.jpg
경주 부부총 금귀걸이,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611503.jpg
도기 기마인물형 명기,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611505.jpg
청동 은입사 포류수금문 정병,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611509.jpg
백자 철화포도원숭이문 항아리,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611510.jpg
청자 참외모양 병,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611512.jpg
청자 투각칠보문뚜껑 향로,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611513.jpg
청자 구룡형 주전자,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611514.jpg
청자 음각연화당초문 매병,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611516.jpg
청자 상감모란문 항아리,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611517.jpg
김천 갈항사지 동·서 삼층석탑,용산구,국보,126.980757030004,37.5221291000299,http://www.cha.go.kr/unisearch/images/national_treasure/1611518.jpg
개성 남계원지 칠층석탑,용산구,국보,126.980984368113,37.5223002900538,http://www.cha.go.kr/unisearch/images/national_treasure/1611527.jpg
충주 정토사지 홍법국사탑,용산구,국보,126.98136,37.523423,http://www.cha.go.kr/unisearch/images/national_treasure/1611542.jpg
전 원주 흥법사지 염거화상탑,용산구,국보,126.980619356019,37.5235137101258,http://www.cha.go.kr/unisearch/images/national_treasure/1611544.jpg
이제현 초상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611557.jpg
청자 철화양류문 통형 병,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611558.jpg
청자 상감모란국화문 참외모양 병,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611559.jpg
청자 상감당초문 완,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611560.jpg
청자 상감모란문 표주박모양 주전자,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611562.jpg
금동미륵보살반가사유상,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611563.jpg
금동연가7년명여래입상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611565.jpg
녹유골호(부석제외함),용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611568.jpg
서울 삼양동 금동관음보살입상,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611576.jpg
금동보살입상,용산구,국보,126.9654442,37.5384272,http://www.cha.go.kr/unisearch/images/national_treasure/1611577.jpg
고려말 화령부 호적 관련 고문서,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611578.jpg
청자 동화연화문 표주박모양 주전자,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611579.jpg
금동보살삼존입상,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611581.jpg
신윤복 필 풍속도 화첩,중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/2030843.jpg
금동 용두보당,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611584.jpg
대구 비산동 청동기 일괄 - 검 및 칼집 부속,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611586.jpg
전 고령 금관 및 장신구 일괄,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611587.jpg
김홍도 필 군선도 병풍,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611590.jpg
나전 화문 동경,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611592.jpg
정문경,동작구,국보,126.9521283,37.5073799,http://www.cha.go.kr/unisearch/images/national_treasure/1611593.jpg
동국정운,광진구,국보,127.0822938,37.5384843,http://www.cha.go.kr/unisearch/images/national_treasure/1611594.jpg
귀면 청동로,용산구,국보,126.980350241652,37.5240413763397,http://www.cha.go.kr/unisearch/images/national_treasure/1611595.jpg
전 논산 청동방울 일괄,용산구,국보,126.9961867,37.5365283,http://www.cha.go.kr/unisearch/images/national_treasure/1611597.jpg
십칠사찬고금통요 권16,관악구,국보,126.95045327355,37.4623506678375,http://www.cha.go.kr/unisearch/images/national_treasure/2280116.jpg
십칠사찬고금통요 권17,서초구,국보,127.00303781214,37.4974828311898,http://www.cha.go.kr/unisearch/images/national_treasure/1611608.jpg
"동래선생교정북사상절 권4, 5",중구,국보,127.0182146,37.589116,http://www.cha.go.kr/unisearch/images/national_treasure/1611609.jpg
