문화재명,시군구명,종목,경도,위도,대표이미지
구례 화엄사 각황전 앞 석등,구례군,국보,127.497444533919,35.2571531377685,http://www.cha.go.kr/unisearch/images/national_treasure/1612398.jpg
강진 무위사 극락보전,강진군,국보,126.686758419185,34.738787662775,http://www.cha.go.kr/unisearch/images/national_treasure/1612406.jpg
구례 화엄사 사사자 삼층석탑,구례군,국보,127.49652701406,35.2569773703239,http://www.cha.go.kr/unisearch/images/national_treasure/1612422.jpg
순천 송광사 목조삼존불감,순천시,국보,127.2756552,35.0021686,http://www.cha.go.kr/unisearch/images/national_treasure/1612444.jpg
혜심 고신제서,순천시,국보,127.2756552,35.0021686,http://www.cha.go.kr/unisearch/images/national_treasure/1612446.jpg
장흥 보림사 남·북 삼층석탑 및 석등,장흥군,국보,126.896264475771,34.8077435022035,http://www.cha.go.kr/unisearch/images/national_treasure/1612448.jpg
영암 도갑사 해탈문,영암군,국보,126.662111686294,34.7527543103396,http://www.cha.go.kr/unisearch/images/national_treasure/1612464.jpg
구례 연곡사 동 승탑,구례군,국보,127.588430206405,35.2552278706953,http://www.cha.go.kr/unisearch/images/national_treasure/1612474.jpg
구례 연곡사 북 승탑,구례군,국보,127.588262244393,35.2561033437638,http://www.cha.go.kr/unisearch/images/national_treasure/1612492.jpg
순천 송광사 국사전,순천시,국보,127.27649252568,35.0018816706123,http://www.cha.go.kr/unisearch/images/national_treasure/1612507.jpg
화순 쌍봉사 철감선사탑,화순군,국보,127.059222230132,34.8882936734083,http://www.cha.go.kr/unisearch/images/national_treasure/1612517.jpg
구례 화엄사 각황전,구례군,국보,127.497211018003,35.257238210658,http://www.cha.go.kr/unisearch/images/national_treasure/1612538.jpg
장흥 보림사 철조비로자나불좌상,장흥군,국보,126.8965153,34.8075776,http://www.cha.go.kr/unisearch/images/national_treasure/1612552.jpg
영암 월출산 마애여래좌상,영암군,국보,126.690502400036,34.7638594612529,http://www.cha.go.kr/unisearch/images/national_treasure/1612558.jpg
화엄사 영산회 괘불탱,구례군,국보,127.4975631,35.2554828,http://www.cha.go.kr/unisearch/images/national_treasure/1612567.jpg
여수 진남관,여수시,국보,127.73659430919,34.7420011232044,http://www.cha.go.kr/unisearch/images/national_treasure/1612571.jpg
해남 대흥사 북미륵암 마애여래좌상,해남군,국보,126.631143109891,34.4748336093045,http://www.cha.go.kr/unisearch/images/national_treasure/1612588.jpg
강진 무위사 극락전 아미타여래삼존벽화,강진군,국보,126.6803267,34.7367687,http://www.cha.go.kr/unisearch/images/national_treasure/1612602.jpg
순천 송광사 화엄경변상도,순천시,국보,127.2756552,35.0021686,http://www.cha.go.kr/unisearch/images/national_treasure/1612610.jpg
대흥사북미륵암마애여래좌상,해남군,보물,126.6316851,34.4752022,http://www.cha.go.kr/unisearch/images/treasure/1618717.jpg
나주 동점문 밖 석당간,나주시,보물,126.722738553288,35.0369147525346,http://www.cha.go.kr/unisearch/images/treasure/1618719.jpg
나주 북망문 밖 삼층석탑,나주시,보물,126.712242374639,35.0395117398334,http://www.cha.go.kr/unisearch/images/treasure/1618726.jpg
탑산사명 동종,해남군,보물,126.6163583,34.47596,http://www.cha.go.kr/unisearch/images/treasure/1618734.jpg
영암 도갑사 석조여래좌상,영암군,보물,126.663802889187,34.7539880728809,http://www.cha.go.kr/unisearch/images/treasure/1618737.jpg
대반열반경소 권9~10,순천시,보물,127.2756552,35.0021686,http://www.cha.go.kr/unisearch/images/treasure/1618746.jpg
담양 개선사지 석등,담양군,보물,126.98259802868,35.1854857041315,http://www.cha.go.kr/unisearch/images/treasure/1618748.jpg
광양 중흥산성 삼층석탑,광양시,보물,127.607355149932,35.0245400884225,http://www.cha.go.kr/unisearch/images/treasure/1618759.jpg
