문화재명,시군구명,종목,경도,위도,대표이미지
남원 실상사 백장암 삼층석탑,남원시,국보,127.619971568516,35.4425391241814,http://www.cha.go.kr/unisearch/images/national_treasure/1612336.jpg
익산 미륵사지 석탑,익산시,국보,127.030560529125,36.0124223230747,http://www.cha.go.kr/unisearch/images/national_treasure/2021030208225900.jpg
김제 금산사 미륵전,김제시,국보,127.053933184269,35.7231115250509,http://www.cha.go.kr/unisearch/images/national_treasure/1612350.jpg
익산 왕궁리 오층석탑 사리장엄구,전주시,국보,127.089804075637,35.8012467405827,http://www.cha.go.kr/unisearch/images/national_treasure/1612358.jpg
익산 왕궁리 오층석탑,익산시,국보,127.054583714475,35.9731253112553,http://www.cha.go.kr/unisearch/images/national_treasure/1612376.jpg
완주 화암사 극락전,완주군,국보,127.287158566049,36.0664174380754,http://www.cha.go.kr/unisearch/images/national_treasure/1612384.jpg
조선태조어진,전주시,국보,127.089804075637,35.8012467405827,http://www.cha.go.kr/unisearch/images/national_treasure/1612394.jpg
김제 금산사 노주,김제시,보물,127.053183321227,35.7234508100742,http://www.cha.go.kr/unisearch/images/treasure/1618105.jpg
김제 금산사 석련대,김제시,보물,127.05355410648,35.723342898555,http://www.cha.go.kr/unisearch/images/treasure/1618110.jpg
김제 금산사 혜덕왕사탑비,김제시,보물,127.056322,35.724340,http://www.cha.go.kr/unisearch/images/treasure/1618113.jpg
김제 금산사 오층석탑,김제시,보물,127.053868473384,35.7234370479718,http://www.cha.go.kr/unisearch/images/treasure/1618121.jpg
김제 금산사 금강계단,김제시,보물,127.053920970463,35.7234636545607,http://www.cha.go.kr/unisearch/images/treasure/1618127.jpg
김제 금산사 육각 다층석탑,김제시,보물,127.053473134113,35.7232684395624,http://www.cha.go.kr/unisearch/images/treasure/1618135.jpg
김제 금산사 당간지주,김제시,보물,127.053056901582,35.7221146538583,http://www.cha.go.kr/unisearch/images/treasure/1618141.jpg
김제 금산사 심원암 삼층석탑,김제시,보물,127.068178954773,35.7293449649045,http://www.cha.go.kr/unisearch/images/treasure/1618146.jpg
남원 만복사지 오층석탑,남원시,보물,127.367797149282,35.407018901717,http://www.cha.go.kr/unisearch/images/treasure/1618150.jpg
남원 만복사지 석조대좌,남원시,보물,127.367292969082,35.4066877676699,http://www.cha.go.kr/unisearch/images/treasure/1618155.jpg
남원 만복사지 당간지주,남원시,보물,127.367677127273,35.4063128224617,http://www.cha.go.kr/unisearch/images/treasure/1618159.jpg
남원 실상사 수철화상탑,남원시,보물,127.634321,35.415550,http://www.cha.go.kr/unisearch/images/treasure/1618162.jpg
남원 실상사 수철화상탑비,남원시,보물,127.634414,35.415993,http://www.cha.go.kr/unisearch/images/treasure/1618168.jpg
남원 실상사 석등,남원시,보물,127.635147847885,35.4168048815836,http://www.cha.go.kr/unisearch/images/treasure/1618174.jpg
남원 실상사 승탑,남원시,보물,127.631549,35.416425,http://www.cha.go.kr/unisearch/images/treasure/1618179.jpg
남원 실상사 동·서 삼층석탑,남원시,보물,127.635233436021,35.4167427138235,http://www.cha.go.kr/unisearch/images/treasure/1618185.jpg
남원 실상사 증각대사탑,남원시,보물,127.63446,35.415922,http://www.cha.go.kr/unisearch/images/treasure/1618194.jpg
남원 실상사 증각대사탑비,남원시,보물,127.634669,35.415778,http://www.cha.go.kr/unisearch/images/treasure/1618201.jpg
남원 실상사 백장암 석등,남원시,보물,127.619954931253,35.4425607438987,http://www.cha.go.kr/unisearch/images/treasure/1618202.jpg
남원 실상사 철조여래좌상,남원시,보물,127.6353317,35.4169332,http://www.cha.go.kr/unisearch/images/treasure/1618208.jpg
남원 용담사지 석조여래입상,남원시,보물,127.412626857943,35.41039021299,http://www.cha.go.kr/unisearch/images/treasure/1618210.jpg
남원 만복사지 석조여래입상,남원시,보물,127.367752293722,35.4071805054331,http://www.cha.go.kr/unisearch/images/treasure/1618214.jpg
익산왕궁리오층석탑,익산시,보물,127.0545657,35.9731734,http://www.cha.go.kr/unisearch/images/no_image.gif
익산 연동리 석조여래좌상,익산시,보물,127.007611207259,36.0298814958105,http://www.cha.go.kr/unisearch/images/treasure/1618224.jpg
익산 고도리 석조여래입상,익산시,보물,127.050791145279,35.9794185743393,http://www.cha.go.kr/unisearch/images/treasure/1618230.jpg
정읍 은선리 삼층석탑,정읍시,보물,126.793662830857,35.6436797484952,http://www.cha.go.kr/unisearch/images/treasure/1618234.jpg
군산 발산리 석등,군산시,보물,126.796529112824,35.9594457926993,http://www.cha.go.kr/unisearch/images/treasure/1618239.jpg
익산 미륵사지 당간지주,익산시,보물,127.030453,36.011972,http://www.cha.go.kr/unisearch/images/treasure/1618245.jpg
임실 진구사지 석등,임실군,보물,127.210446119091,35.6341785645717,http://www.cha.go.kr/unisearch/images/treasure/1618255.jpg
