문화재명,시군구명,종목,경도,위도,대표이미지
제주 관덕정,제주시,보물,126.521489474308,33.5133609436166,http://www.cha.go.kr/unisearch/images/treasure/1623059.jpg
김정희 종가 유물 일괄,서귀포시,보물,126.560076,33.2541205,http://www.cha.go.kr/unisearch/images/treasure/1623075.jpg
제주 불탑사 오층석탑,제주시,보물,126.598544211899,33.5293780667049,http://www.cha.go.kr/unisearch/images/treasure/1623085.jpg
최익현 초상,제주시,보물,126.5311884,33.4996213,http://www.cha.go.kr/unisearch/images/treasure/1623091.jpg
제주향교 대성전,제주시,보물,126.515617912806,33.5115522839389,http://www.cha.go.kr/unisearch/images/treasure/2016061316550500.JPG
제주 삼성혈,제주시,사적,126.528872186943,33.5043012717768,http://www.cha.go.kr/unisearch/images/history_site/1628518.jpg
제주목 관아,제주시,사적,126.521972,33.513452,http://www.cha.go.kr/unisearch/images/history_site/1628521.jpg
제주 항파두리 항몽 유적,제주시,사적,126.409851168663,33.4515842445891,http://www.cha.go.kr/unisearch/images/history_site/1628558.jpg
제주 고산리 유적,제주시,사적,126.166892678003,33.3045453604739,http://www.cha.go.kr/unisearch/images/history_site/1628593.jpg
제주 삼양동 유적,제주시,사적,126.587546542026,33.5233312270546,http://www.cha.go.kr/unisearch/images/history_site/1628611.jpg
서귀포 김정희 유배지,서귀포시,사적,126.27829480734,33.2501690363773,http://www.cha.go.kr/unisearch/images/history_site/1628624.jpg
제주 용담동 유적,제주시,사적,126.509777863658,33.5030922405463,http://www.cha.go.kr/unisearch/images/history_site/1628633.jpg
제주 서귀포 정방폭포,서귀포시,명승,126.575250044955,33.2435758252925,http://www.cha.go.kr/unisearch/images/scenic_site/1629326.jpg
제주 서귀포 산방산,서귀포시,명승,126.31373906996,33.242368745271,http://www.cha.go.kr/unisearch/images/scenic_site/1629333.jpg
제주 서귀포 쇠소깍,서귀포시,명승,126.623413957787,33.2546869403396,http://www.cha.go.kr/unisearch/images/scenic_site/1629359.jpg
제주 서귀포 외돌개,서귀포시,명승,126.544715935247,33.240026207776,http://www.cha.go.kr/unisearch/images/scenic_site/1629379.jpg
사라오름,서귀포시,명승,126.57053929818,33.3709163022196,http://www.cha.go.kr/unisearch/images/scenic_site/1629391.jpg
영실기암과 오백나한,서귀포시,명승,126.500148057604,33.3539546913344,http://www.cha.go.kr/unisearch/images/scenic_site/1629404.jpg
한라산 백록담,서귀포시,명승,126.532619578762,33.361258065334,http://www.cha.go.kr/unisearch/images/scenic_site/1629324.jpg
한라산 선작지왓,서귀포시,명승,126.517141289104,33.3584637238545,http://www.cha.go.kr/unisearch/images/scenic_site/1629421.jpg
제주 방선문,제주시,명승,126.517850765388,33.4520732406842,http://www.cha.go.kr/unisearch/images/scenic_site/1629423.jpg
제주 삼도 파초일엽 자생지,서귀포시,천연기념물,126.599231044276,33.2301408625597,http://www.cha.go.kr/unisearch/images/natural_monument/1632282.jpg
제주 토끼섬 문주란 자생지,제주시,천연기념물,126.902823110229,33.5239708237691,http://www.cha.go.kr/unisearch/images/natural_monument/1632285.jpg
제주 무태장어 서식지,서귀포시,천연기념물,126.490496657531,33.2487808154411,http://www.cha.go.kr/unisearch/images/natural_monument/1632293.jpg
제주 김녕굴 및 만장굴,제주시,천연기념물,126.770894,33.528330,http://www.cha.go.kr/unisearch/images/natural_monument/1632296.jpg
서귀포의곰솔,제주도,천연기념물,126.560076,33.2541205,http://www.cha.go.kr/unisearch/images/no_image.gif
제주 신례리 왕벚나무 자생지,서귀포시,천연기념물,126.610311380121,33.336984948865,http://www.cha.go.kr/unisearch/images/natural_monument/1632327.jpg
제주 봉개동 왕벚나무 자생지,제주시,천연기념물,126.594960987698,33.4287466443572,http://www.cha.go.kr/unisearch/images/natural_monument/1632334.jpg
제주 산천단 곰솔 군,제주시,천연기념물,126.554655519225,33.4475096265306,http://www.cha.go.kr/unisearch/images/natural_monument/1632342.jpg
제주 성읍리 느티나무 및 팽나무 군,서귀포시,천연기념물,126.801095407314,33.388015465555,http://www.cha.go.kr/unisearch/images/natural_monument/1632349.jpg
제주 도순리 녹나무 자생지,서귀포시,천연기념물,126.479835460503,33.250156528083,http://www.cha.go.kr/unisearch/images/natural_monument/1632358.jpg
제주 천지연 담팔수 자생지,서귀포시,천연기념물,126.554754586774,33.2462708533375,http://www.cha.go.kr/unisearch/images/natural_monument/1632364.jpg
한라산 천연보호구역,제주도 일원,천연기념물,126.558521237452,33.3683310058494,http://www.cha.go.kr/unisearch/images/natural_monument/1632370.jpg
제주 서귀포층 패류화석 산지,서귀포시,천연기념물,126.554655081413,33.2400787047992,http://www.cha.go.kr/unisearch/images/natural_monument/1632418.jpg
"제주 한림 용암동굴지대(소천굴, 황금굴, 협재굴)",제주시,천연기념물,126.246054863624,33.3741472170092,http://www.cha.go.kr/unisearch/images/natural_monument/1632431.jpg
제주 산굼부리 분화구,제주시,천연기념물,126.693972528694,33.4323322187549,http://www.cha.go.kr/unisearch/images/natural_monument/1632457.jpg
"제주 사수도 바닷새류(흑비둘기, 슴새) 번식지",제주시,천연기념물,126.638807644858,33.9204452020703,http://www.cha.go.kr/unisearch/images/natural_monument/1632476.jpg
제주 어음리 빌레못동굴,제주시,천연기념물,126.346621342171,33.4047471179721,http://www.cha.go.kr/unisearch/images/natural_monument/1632480.jpg
제주의 제주마,제주시,천연기념물,126.567014598784,33.427802869555,http://www.cha.go.kr/unisearch/images/natural_monument/1632509.jpg
제주 평대리 비자나무 숲,제주시,천연기념물,126.807446905621,33.4862725564134,http://www.cha.go.kr/unisearch/images/natural_monument/1632519.jpg
제주 납읍리 난대림,제주시,천연기념물,126.330742372937,33.4339445470612,http://www.cha.go.kr/unisearch/images/natural_monument/1632524.jpg
제주 산방산 암벽식물지대,서귀포시,천연기념물,126.312910851936,33.2403704194696,http://www.cha.go.kr/unisearch/images/natural_monument/1632528.jpg
제주 안덕계곡 상록수림,서귀포시,천연기념물,126.354231012838,33.2565668064172,http://www.cha.go.kr/unisearch/images/natural_monument/1632533.jpg
제주 천제연 난대림,서귀포시,천연기념물,126.419531483367,33.2528915034253,http://www.cha.go.kr/unisearch/images/natural_monument/1632540.jpg
제주 천지연 난대림,서귀포시,천연기념물,126.557418331182,33.2455595110912,http://www.cha.go.kr/unisearch/images/natural_monument/1632545.jpg
제주 당처물동굴,제주시,천연기념물,126.784387367537,33.5570895316374,http://www.cha.go.kr/unisearch/images/natural_monument/1632550.jpg
성산일출봉 천연보호구역,서귀포시,천연기념물,126.939678,33.458802,http://www.cha.go.kr/unisearch/images/natural_monument/1632566.jpg
문섬·범섬 천연보호구역,서귀포시,천연기념물,126.5404844479,33.2226042680149,http://www.cha.go.kr/unisearch/images/natural_monument/1632582.jpg
차귀도 천연보호구역,제주시,천연기념물,126.152758118342,33.3110804896741,http://www.cha.go.kr/unisearch/images/natural_monument/1632595.jpg
마라도 천연보호구역,서귀포시,천연기념물,126.267996256925,33.1182200125358,http://www.cha.go.kr/unisearch/images/natural_monument/1632603.jpg
제주 월령리 선인장 군락,제주시,천연기념물,126.214683745654,33.3775454929505,http://www.cha.go.kr/unisearch/images/natural_monument/1632624.jpg
제주 상효동 한란 자생지,서귀포시,천연기념물,126.577822697988,33.3004278481614,http://www.cha.go.kr/unisearch/images/natural_monument/1632627.jpg
제주 우도 홍조단괴 해빈,제주시,천연기념물,126.937379832532,33.5026766300908,http://www.cha.go.kr/unisearch/images/natural_monument/1632631.jpg
