문화재명,시군구명,종목,경도,위도,대표이미지
보은 법주사 쌍사자 석등,보은군,국보,127.833219375596,36.5421679403972,http://www.cha.go.kr/unisearch/images/national_treasure/1612140.jpg
충주 탑평리 칠층석탑,충주시,국보,127.866630082822,37.0158885404695,http://www.cha.go.kr/unisearch/images/national_treasure/1612144.jpg
청주 용두사지 철당간,청주시,국보,127.48975464869,36.6330873652615,http://www.cha.go.kr/unisearch/images/national_treasure/1612150.jpg
보은 법주사 팔상전,보은군,국보,127.833098082724,36.5419417095503,http://www.cha.go.kr/unisearch/images/national_treasure/1612155.jpg
보은 법주사 석련지,보은군,국보,127.832483864655,36.541486086488,http://www.cha.go.kr/unisearch/images/national_treasure/1612165.jpg
계유명전씨아미타불비상,청주시,국보,127.512007838177,36.6496642287998,http://www.cha.go.kr/unisearch/images/national_treasure/1612169.jpg
충주 청룡사지 보각국사탑,충주시,국보,127.838116122621,37.130875590851,http://www.cha.go.kr/unisearch/images/national_treasure/1612171.jpg
단양 신라 적성비,단양군,국보,128.321025920588,36.944434451512,http://www.cha.go.kr/unisearch/images/national_treasure/1612178.jpg
충주 고구려비,충주시,국보,127.848500056674,37.0280868354749,http://www.cha.go.kr/unisearch/images/national_treasure/1612184.jpg
태종11년이형원종공신록권부함,영동군,국보,127.7834302,36.1750231,http://www.cha.go.kr/unisearch/images/national_treasure/1612194.jpg
안심사 영산회 괘불탱,청주시,국보,127.4132468,36.5523803,http://www.cha.go.kr/unisearch/images/national_treasure/1612200.jpg
보은 법주사 사천왕 석등,보은군,보물,127.833394479264,36.5425015793927,http://www.cha.go.kr/unisearch/images/treasure/1616952.jpg
충주 억정사지 대지국사탑비,충주시,보물,127.927344714459,37.1035735296302,http://www.cha.go.kr/unisearch/images/treasure/1616957.jpg
충주 정토사지 법경대사탑비,충주시,보물,128.047032478666,37.0306218908447,http://www.cha.go.kr/unisearch/images/treasure/1616963.jpg
제천 사자빈신사지 사사자 구층석탑,제천시,보물,128.083275303486,36.8573268733491,http://www.cha.go.kr/unisearch/images/treasure/1616974.jpg
충주 미륵리 오층석탑,충주시,보물,128.095107699145,36.8220171802343,http://www.cha.go.kr/unisearch/images/treasure/1616984.jpg
충주 미륵리 석조여래입상,충주시,보물,128.095110064091,36.821604878772,http://www.cha.go.kr/unisearch/images/treasure/1616987.jpg
괴산 원풍리 마애이불병좌상,괴산군,보물,128.023165453718,36.7918263401403,http://www.cha.go.kr/unisearch/images/treasure/1616994.jpg
충주 철조여래좌상,충주시,보물,127.9292219,36.9692607,http://www.cha.go.kr/unisearch/images/treasure/1617001.jpg
보은 법주사 마애여래의좌상,보은군,보물,127.831998034576,36.5414049741324,http://www.cha.go.kr/unisearch/images/treasure/1617004.jpg
기축명아미타불비상,청주시,보물,127.512007838177,36.6496642287998,http://www.cha.go.kr/unisearch/images/treasure/1617014.jpg
미륵보살반가사유비상,청주시,보물,127.512007838177,36.6496642287998,http://www.cha.go.kr/unisearch/images/treasure/1617015.jpg
진천 연곡리 석비,진천군,보물,127.340220210484,36.8398527598449,http://www.cha.go.kr/unisearch/images/treasure/1617017.jpg
단양 향산리 삼층석탑,단양군,보물,128.417767680019,37.0542342004462,http://www.cha.go.kr/unisearch/images/treasure/1617024.jpg
제천 덕주사 마애여래입상,제천시,보물,128.104907606603,36.8698290548228,http://www.cha.go.kr/unisearch/images/treasure/1617031.jpg
괴산 각연사 석조비로자나불좌상,괴산군,보물,127.927690746794,36.7547422180342,http://www.cha.go.kr/unisearch/images/treasure/1617036.jpg
